pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable
0.104521,1784371362.254087,1,-2.93780589,-3.42898989,-9.9521122,0.450000018,607.903015,-0.000416403549,0.000406981213,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.136522,1784371362.286088,2,-2.93712974,-3.43219805,-9.95209503,0.450000018,607.92804,-0.000497858273,0.00033192549,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.168514,1784371362.318079,3,-2.93877268,-3.42819881,-9.95216751,0.450000018,607.953003,-0.000441907585,0.000337220234,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.200522,1784371362.350087,4,-2.93748879,-3.42818403,-9.95239258,0.450000018,607.978027,-0.000340720231,0.00029500213,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.200522,1784371362.350087,5,-2.93846869,-3.42751598,-9.95247078,0.450000018,608.003052,-0.000291502452,0.000285840419,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.231524,1784371362.381090,6,-2.94154453,-3.42475271,-9.95335579,0.450000018,608.028015,-0.00022581029,0.000355206808,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.262744,1784371362.412309,7,-2.9425776,-3.42418718,-9.95425224,0.450000018,608.05304,-0.000122629412,0.000386649248,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.294635,1784371362.444200,8,-2.94026804,-3.42453861,-9.95502472,0.450000018,608.078003,-0.000116714356,0.000320530351,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.326315,1784371362.475881,9,-2.93967056,-3.4275465,-9.95570374,0.450000018,608.103027,-0.000162044686,0.000264962349,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.326315,1784371362.475881,10,-2.94030571,-3.43240833,-9.95675278,0.450000018,608.128052,-0.000387404434,0.000323452987,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.357475,1784371362.507041,11,-2.9383769,-3.43429613,-9.95683861,0.450000018,608.153015,-0.000533982879,0.000325644767,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.389098,1784371362.538663,12,-2.93742323,-3.43361807,-9.95746994,0.450000018,608.17804,-0.000498587731,0.000269316457,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.419100,1784371362.568665,13,-2.93980932,-3.43629551,-9.95793724,0.450000018,608.203003,-0.000609320472,0.000365150452,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.451090,1784371362.600656,14,-2.93994188,-3.43677855,-9.95880699,0.450000018,608.228027,-0.000638455153,0.0004089883,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.451090,1784371362.600656,15,-2.94149208,-3.43956947,-9.95921516,0.450000018,608.253052,-0.000764845288,0.000527944881,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
