pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable
0.132878,1784371171.768245,1,-2.9986732,-3.28474998,-6.11102676,0.440000027,417.432007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.132878,1784371171.768245,2,-2.97798252,-3.28208971,-6.10956383,0.440000027,417.457031,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.164088,1784371171.799455,3,-2.99824238,-3.25606203,-6.11176872,0.440000027,417.482025,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.194794,1784371171.830161,4,-2.95912075,-3.23293257,-6.1094017,0.440000027,417.507019,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.226882,1784371171.862249,5,-2.99222755,-3.22636032,-6.11096001,0.440000027,417.532013,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.226882,1784371171.862249,6,-3.00358939,-3.22435427,-6.11132622,0.440000027,417.557007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.257895,1784371171.893262,7,-3.06750822,-3.26198673,-6.1078968,0.440000027,417.582031,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.288888,1784371171.924255,8,-3.03283072,-3.30189991,-6.11204338,0.443500012,417.607025,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.319934,1784371171.955301,9,-3.02142906,-3.29782581,-6.11433983,0.442275017,417.632019,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.350885,1784371171.986252,10,-3.01365256,-3.2697258,-6.11914635,0.440961182,417.657013,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.381888,1784371172.017255,11,-3.00404072,-3.23043299,-6.11697769,0.440624774,417.682007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.381888,1784371172.017255,12,-2.99628639,-3.20971298,-6.11813545,0.440406114,417.707031,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.413447,1784371172.048814,13,-2.99453735,-3.21828938,-6.11753654,0.440263987,417.732025,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.444725,1784371172.080092,14,-3.02807117,-3.25643396,-6.11915779,0.440111548,417.757019,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.476655,1784371172.112021,15,-3.02197576,-3.30847073,-6.11796761,0.440072507,417.782013,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.508044,1784371172.143411,16,-3.01688218,-3.31276608,-6.12137794,0.440047115,417.807007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.508044,1784371172.143411,17,-3.00630856,-3.26878405,-6.12212563,0.440030634,417.832031,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.539294,1784371172.174661,18,-3.0106914,-3.21905565,-6.12150764,0.440012932,417.857025,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.570413,1784371172.205780,19,-2.99322033,-3.21601629,-6.12076569,0.440008402,417.882019,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.602415,1784371172.237782,20,-3.00094438,-3.2358737,-6.12070847,0.440005451,417.907013,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.634412,1784371172.269778,21,-3.01561356,-3.24928856,-6.12368584,0.440003544,417.932007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.634412,1784371172.269778,22,-3.03026104,-3.263412,-6.12477493,0.440002292,417.957031,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.680279,1784371172.315645,23,-3.02364349,-3.27185869,-6.12867928,0.440000951,417.982025,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.680279,1784371172.315645,24,-3.02003074,-3.260818,-6.12874603,0.440000623,418.007019,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.710359,1784371172.345726,25,-3.01203656,-3.22505426,-6.12970924,0.440000415,418.032013,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.741760,1784371172.377126,26,-2.98635149,-3.20373106,-6.12730789,0.440000266,418.057007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.772773,1784371172.408139,27,-2.99005842,-3.2264657,-6.12687111,0.440000117,418.082031,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.803952,1784371172.439319,28,-2.9999125,-3.26215839,-6.12763023,0.440000087,418.107025,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.835990,1784371172.471356,29,-3.02603364,-3.25907946,-6.12861061,0.440000057,418.132019,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.835990,1784371172.471356,30,-3.02595162,-3.25942755,-6.1295433,0.440000027,418.157013,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.868121,1784371172.503488,31,-3.02765059,-3.24200153,-6.12958336,0.443500012,418.182007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
