pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable
0.744515,1784370865.246961,1,-3.01013422,-3.23176908,-1.20324707,0.440000027,110.993004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.775507,1784370865.277952,2,-3.01032686,-3.23261976,-1.2036953,0.440000027,111.018005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.806507,1784370865.308952,3,-3.01054764,-3.2287569,-1.2033844,0.440000027,111.043007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.806507,1784370865.308952,4,-3.01227021,-3.22880983,-1.2035675,0.440000027,111.068008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.837668,1784370865.340114,5,-3.0117836,-3.22568798,-1.20368576,0.443500012,111.093002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.869514,1784370865.371959,6,-3.01182365,-3.22850466,-1.20424271,0.445775002,111.118004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.900516,1784370865.402961,7,-3.01137543,-3.22972441,-1.20508766,0.447253734,111.143005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.932754,1784370865.435199,8,-3.01268482,-3.23041487,-1.20586395,0.448214918,111.168007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.932754,1784370865.435199,9,-3.01080513,-3.23164129,-1.20679474,0.449245811,111.193008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.964853,1784370865.467299,10,-3.01240301,-3.23083448,-1.20728493,0.44950977,111.218002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.996856,1784370865.499301,11,-3.01176977,-3.23160362,-1.20767784,0.449681342,111.243004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.027972,1784370865.530417,12,-3.01348734,-3.23059654,-1.20833206,0.449792862,111.268005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.027972,1784370865.530417,13,-3.01194859,-3.23150253,-1.20842743,0.449865341,111.293007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.059847,1784370865.562293,14,-3.01162434,-3.23899794,-1.20889664,0.449943095,111.318008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.090847,1784370865.593292,15,-3.01232004,-3.23979425,-1.20942879,0.449963003,111.343002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.121930,1784370865.624375,16,-3.01214981,-3.23468447,-1.21008873,0.449975938,111.368004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.152933,1784370865.655378,17,-3.01251841,-3.22877359,-1.2104702,0.449984342,111.393005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.183931,1784370865.686377,18,-3.01302767,-3.22260475,-1.21059608,0.449993372,111.418007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.183931,1784370865.686377,19,-3.01291156,-3.22304106,-1.21060371,0.449995697,111.443008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.214931,1784370865.717377,20,-3.0163002,-3.21861887,-1.21066856,0.449997187,111.468002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.245932,1784370865.748377,21,-3.01693296,-3.21909237,-1.21088219,0.44999817,111.493004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.277940,1784370865.780385,22,-3.0152483,-3.22265673,-1.21155357,0.449998796,111.518005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.308932,1784370865.811378,23,-3.01556826,-3.22553396,-1.21177864,0.449999481,111.543007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.308932,1784370865.811378,24,-3.01471472,-3.22399616,-1.21217155,0.44999966,111.568008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.339939,1784370865.842385,25,-3.01548433,-3.22150373,-1.21283531,0.449999779,111.593002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.371939,1784370865.874384,26,-3.01502633,-3.22603989,-1.21331024,0.449999839,111.618004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.402941,1784370865.905387,27,-3.01577926,-3.23227739,-1.21363068,0.449999928,111.643005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.434941,1784370865.937386,28,-3.01609874,-3.23509598,-1.2141552,0.449999958,111.668007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.434941,1784370865.937386,29,-3.0163343,-3.23777819,-1.21496964,0.449999958,111.693008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.466057,1784370865.968503,30,-3.01607633,-3.23527384,-1.21557808,0.449999958,111.718002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.498131,1784370866.000576,31,-3.01526713,-3.23402739,-1.21575165,0.449999958,111.743004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.529948,1784370866.032394,32,-3.01572394,-3.2372508,-1.21634674,0.449999958,111.768005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.529948,1784370866.032394,33,-3.01838422,-3.23535347,-1.21702385,0.449999958,111.793007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.561061,1784370866.063507,34,-3.02037311,-3.23402452,-1.21736717,0.449999958,111.818008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.591933,1784370866.094378,35,-3.02021813,-3.238873,-1.21760941,0.449999958,111.843002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
