pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable
0.142611,1784371005.745117,1,-3.00754547,-3.23615122,-3.4109745,0.440624774,251.443008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.142611,1784371005.745117,2,-3.00745773,-3.23333549,-3.41106606,0.440406114,251.468018,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.173614,1784371005.776120,3,-3.00858665,-3.22868061,-3.41142082,0.443763971,251.493011,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.204610,1784371005.807116,4,-3.01026821,-3.22522593,-3.41236496,0.445946574,251.518005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.236604,1784371005.839110,5,-3.00873733,-3.223176,-3.41231155,0.447365284,251.543015,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.267603,1784371005.870109,6,-3.00971699,-3.21851063,-3.41297531,0.448886812,251.568008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.267603,1784371005.870109,7,-3.00893903,-3.21935225,-3.41275215,0.449276417,251.593018,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.298603,1784371005.901109,8,-3.00792074,-3.22610664,-3.41317177,0.449529678,251.618011,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.330602,1784371005.933108,9,-3.00512052,-3.22778702,-3.41337395,0.449694276,251.643005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.361611,1784371005.964117,10,-3.00884295,-3.23106813,-3.41346741,0.449870825,251.668015,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.393610,1784371005.996116,11,-3.00930452,-3.23362064,-3.41433716,0.449916035,251.693008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.393610,1784371005.996116,12,-3.01102638,-3.23899269,-3.41502953,0.44994542,251.718018,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.424611,1784371006.027117,13,-3.0096705,-3.24351549,-3.41530228,0.449964523,251.743011,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.455612,1784371006.058118,14,-3.01010537,-3.24377298,-3.41557693,0.449976921,251.768005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.487603,1784371006.090109,15,-3.0085144,-3.24632692,-3.41579056,0.449990243,251.793015,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.487603,1784371006.090109,16,-3.00643229,-3.24811077,-3.41649246,0.44999364,251.818008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.517611,1784371006.120116,17,-3.00763106,-3.25033331,-3.4168663,0.449995875,251.843018,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.549611,1784371006.152117,18,-3.00783157,-3.25242853,-3.4168129,0.449997306,251.868011,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.580611,1784371006.183117,19,-3.01015663,-3.25279522,-3.41684151,0.449998856,251.893005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.611613,1784371006.214119,20,-3.01176262,-3.25158834,-3.41729927,0.449999243,251.918015,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.643613,1784371006.246119,21,-3.01020765,-3.24526787,-3.41736984,0.449999511,251.943008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.643613,1784371006.246119,22,-3.00920343,-3.24130535,-3.41724968,0.44999969,251.968018,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.675728,1784371006.278234,23,-3.00932407,-3.24291706,-3.416996,0.449999809,251.993011,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.706603,1784371006.309109,24,-3.00930953,-3.24480009,-3.4170475,0.449999899,252.018005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.737617,1784371006.340123,25,-3.00937843,-3.24551487,-3.41697884,0.449999928,252.043015,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.769605,1784371006.372111,26,-3.01047444,-3.245368,-3.41737366,0.449999958,252.068008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
