signal,segment,dominant_hz,amplitude
roll_deg,5,0.439453125,1.35411750583735
pitch_deg,5,0.830078125,0.324366146142866
gyro_x_dps,5,0.439453125,2.89741161550659
gyro_y_dps,5,1.416015625,1.42899579295407
ctrl_tilt_out_rad_0,5,1.416015625,0.0107384321007812
ctrl_tilt_out_rad_1,5,1.3671875,0.0223256162370116
roll_deg,6,0.48828125,1.28570854447459
pitch_deg,6,0.48828125,0.500347343509804
gyro_x_dps,6,1.46484375,2.89758829699297
gyro_y_dps,6,1.171875,1.37382873098064
ctrl_tilt_out_rad_0,6,1.171875,0.00993689295209363
ctrl_tilt_out_rad_1,6,1.26953125,0.0201843623734665
roll_deg,7,0.390625,3.85091451068492
pitch_deg,7,0.5859375,0.751495385190841
gyro_x_dps,7,0.390625,11.215982045389
gyro_y_dps,7,1.3671875,4.45140288489402
ctrl_tilt_out_rad_0,7,1.7578125,0.0307383158128676
ctrl_tilt_out_rad_1,7,1.3671875,0.0465249573861138
roll_deg,8,0.390625,2.43913928676956
pitch_deg,8,0.390625,0.770343437279708
gyro_x_dps,8,1.3671875,4.85876555674407
gyro_y_dps,8,1.07421875,2.22868953774841
ctrl_tilt_out_rad_0,8,1.07421875,0.0149304414000698
ctrl_tilt_out_rad_1,8,1.3671875,0.0336053140938274
roll_deg,9,0.390625,2.76777760997081
pitch_deg,9,0.5859375,1.18858375054731
gyro_x_dps,9,0.390625,5.69597389566906
gyro_y_dps,9,0.5859375,2.78103806096588
ctrl_tilt_out_rad_0,9,0.68359375,0.0166471876788926
ctrl_tilt_out_rad_1,9,0.390625,0.0399324791899824
roll_deg,10,0.48828125,1.266616877132
pitch_deg,10,1.3671875,0.314300242528663
gyro_x_dps,10,1.46484375,5.60345592947853
gyro_y_dps,10,1.3671875,2.76088525539473
ctrl_tilt_out_rad_0,10,1.3671875,0.018905641171015
ctrl_tilt_out_rad_1,10,1.46484375,0.032824424549057
