axis,segment,delay_s,corr,samples,cmd_std_us,rmse_us,mean_error_us
alpha,5,0.25,0.477906882614489,1277,57.3281383413379,78.2954817271598,2.53484729835552
alpha,6,0.25,0.651788597450802,812,58.5212850490129,80.425308799945,-9.20566502463054
alpha,7,0.24,0.757367951091523,381,87.670331991384,101.897303043084,8.98162729658793
alpha,8,0.2,0.834431606751234,860,57.0141712090608,63.444592197206,8.11162790697674
alpha,9,0.26,0.902835123386751,846,50.7122509193023,49.8854716694945,-0.108747044917258
alpha,10,-0.47,0.229550734729799,519,57.8245071735539,72.9318313435319,6.21965317919075
beta,5,-0.38,0.233351950851301,1314,30.6319363137886,45.9928854269164,-3.99847792998478
beta,6,0.24,0.455156435220089,821,25.2529513217562,34.4164153678478,4.92813641900122
beta,7,0.12,0.878525940998791,410,62.5969590095059,72.0423655845947,-4.44390243902439
beta,8,0.19,0.784447644869641,880,35.7422292079516,52.0701449969174,-2.43181818181818
beta,9,0.26,0.843371568895991,862,29.3215129962163,34.6890228496639,-3.51624129930394
beta,10,0.18,0.470544534206647,532,31.9765792617792,34.6362407448085,-4.42857142857143
