pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable,coax_roll_angle_kp,coax_pitch_angle_kp
0.114173,1784814459.147476,1,-0.034602195,-0.018120259,-0.0927645862,0.306653887,38.0130005,0.000236593507,0.000182293181,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.145411,1784814459.178714,2,-0.0307451487,-0.0106736124,-0.0922612548,0.306276292,38.038002,0.000343592779,0.00011741765,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.145411,1784814459.178714,3,-0.0222021788,-0.0171829164,-0.091709584,0.30680126,38.0630035,0.000252271362,-4.2116113e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.176981,1784814459.210284,4,-0.0258528888,-0.0296888351,-0.0917478502,0.306338549,38.0880013,-0.000203713309,-6.87786887e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.208125,1784814459.241428,5,-0.0266686976,-0.0325450003,-0.0911962986,0.306295097,38.1130028,-0.00040928286,6.44770216e-06,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.239326,1784814459.272629,6,-0.0250665396,-0.0269457996,-0.0911586881,0.305774689,38.1380005,-0.000306218746,-9.81018675e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.269906,1784814459.303208,7,-0.0239972621,-0.0279388726,-0.0911492705,0.306890994,38.163002,-0.000165056757,-0.000221895825,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.269906,1784814459.303208,8,-0.0194080919,-0.0224515498,-0.0922107399,0.306726456,38.1880035,1.62394917e-05,-0.000300993619,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.300905,1784814459.334208,9,-0.0210721493,-0.0199519396,-0.0923160315,0.307502389,38.2130013,0.000105590618,-0.000225211508,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.331801,1784814459.365104,10,-0.0239542276,-0.0193831325,-0.0920734704,0.307789773,38.2380028,7.15720234e-05,-0.000118937249,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.376789,1784814459.410092,11,-0.0228945315,-0.0221928358,-0.0924421847,0.307364762,38.2630005,4.07050393e-05,-6.32134697e-06,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.376789,1784814459.410092,12,-0.0234725773,-0.0229863822,-0.0921642482,0.307154119,38.288002,-4.75617016e-05,-8.31242687e-06,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.407101,1784814459.440404,13,-0.0227843374,-0.012627244,-0.0911617875,0.306894451,38.3130035,0.000140722652,3.49482834e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.438485,1784814459.471787,14,-0.0177798718,-0.0182325542,-0.0914131403,0.306955427,38.3380013,0.000177242808,-0.000138922143,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.468792,1784814459.502095,15,-0.0264996588,-0.0241425037,-0.0910080075,0.306060255,38.3630028,-7.25977588e-05,-5.33380262e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.468792,1784814459.502095,16,-0.0254328847,-0.021718353,-0.091930896,0.306375474,38.3880005,-6.14751334e-05,1.23237987e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.500792,1784814459.534094,17,-0.0282219052,-0.021761775,-0.0918439031,0.307781368,38.413002,-0.00010767077,0.000100350255,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.531792,1784814459.565094,18,-0.0290335417,-0.0226062536,-0.0916448832,0.30768016,38.4380035,-0.00010053219,0.00018590824,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.563791,1784814459.597094,19,-0.0200015455,-0.0186552107,-0.0926855505,0.305707157,38.4630013,9.76028605e-06,-2.45343144e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.595792,1784814459.629095,20,-0.020653218,-0.00571078062,-0.0917568803,0.302638769,38.4880028,0.00035519083,-0.000102048129,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.595792,1784814459.629095,21,-0.011508733,-0.00500285625,-0.0923473537,0.303330421,38.5130005,0.000544168986,-0.000320451742,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.641792,1784814459.675095,22,-0.0147871077,-0.0206784308,-0.0926830769,0.302789629,38.538002,0.000149910833,-0.000268649077,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.673791,1784814459.707094,23,-0.0232694298,-0.0273949206,-0.0928522348,0.302566856,38.5630035,-0.00024495984,3.02695781e-07,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.673791,1784814459.707094,24,-0.027657479,-0.0312196314,-0.0925427079,0.301312,38.5880013,-0.000429091509,0.000121775265,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.705800,1784814459.739103,25,-0.0302993953,-0.0323560834,-0.0917402804,0.30128783,38.6130028,-0.000557301682,0.000268339674,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.737799,1784814459.771101,26,-0.0257870257,-0.0252996683,-0.0923092067,0.302276611,38.6380005,-0.000321399188,0.000196109613,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.768953,1784814459.802255,27,-0.01895307,-0.0141848922,-0.0926789939,0.302801341,38.663002,7.29621825e-05,-6.45363762e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.768953,1784814459.802255,28,-0.0189490467,-0.00315460563,-0.0925033391,0.303493559,38.6880035,0.000462096563,-0.000144499529,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
