pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable,coax_roll_angle_kp,coax_pitch_angle_kp
0.115156,1784814703.019582,1,-0.00739960372,-0.0309855938,-1.51248014,0.29880026,281.35202,-0.00030081463,0.000277927204,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.146156,1784814703.050582,2,-0.011753276,-0.0264998674,-1.51237798,0.297410607,281.377014,-0.000741475378,-9.17415673e-06,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.146156,1784814703.050582,3,-0.0142896771,-0.0172199309,-1.51097858,0.297112793,281.402008,-0.000134253307,0.000126533429,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.177471,1784814703.081897,4,-0.00664058328,-0.0292996764,-1.51452017,0.297047675,281.427002,-0.000395759213,-5.03546107e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.209470,1784814703.113896,5,-0.0190149248,-0.0190506876,-1.51281285,0.296637714,281.452026,-0.000119053424,0.000214250176,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.240471,1784814703.144897,6,-0.00729799271,-0.0404111743,-1.51357472,0.297074437,281.47702,-0.000521461188,4.97174442e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.272472,1784814703.176898,7,-0.0142016858,-0.0214021802,-1.5141902,0.296442956,281.502014,-0.000415113464,-0.000131507579,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.272472,1784814703.176898,8,-0.0174098611,-0.0198576152,-1.51383579,0.296537161,281.527008,-4.86676945e-05,0.000154800538,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.305086,1784814703.209512,9,-0.00639769435,-0.0130533278,-1.51502538,0.296147525,281.552002,0.000296408019,-0.000211317762,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.350923,1784814703.255348,10,-0.0155379623,-0.0246601999,-1.51448333,0.29606235,281.577026,0.000162554963,-8.53219099e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.350923,1784814703.255348,11,-0.0103446096,-0.0204493403,-1.51474893,0.296367139,281.60202,0.000107516375,-6.04991583e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.380928,1784814703.285353,12,-0.00919684768,-0.0175118744,-1.51372063,0.296155125,281.627014,8.28019911e-05,1.31342867e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.412141,1784814703.316567,13,-0.00945149362,-0.0135949552,-1.51460648,0.296042591,281.652008,2.53134804e-05,0.000167423757,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.444150,1784814703.348576,14,0.00044682622,-0.0283468366,-1.51590383,0.296018004,281.677002,-0.000145682614,-0.000286726689,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.475142,1784814703.379568,15,-0.0114430785,-0.0254279971,-1.51791084,0.29673034,281.702026,-0.000130809276,-0.000192941778,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.475142,1784814703.379568,16,-0.0082372278,-0.0274972022,-1.51710331,0.296886086,281.72702,-0.000168560451,0.000190554085,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.506144,1784814703.410570,17,-0.00977738202,-0.03417629,-1.51756656,0.296968728,281.752014,-0.000400644029,5.2143645e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.537249,1784814703.441674,18,-0.0186352283,-0.0296449065,-1.51691151,0.296986789,281.777008,-0.000245050789,0.000107182546,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.569250,1784814703.473676,19,-0.0114840269,-0.0272541642,-1.51931334,0.296646386,281.802002,-0.00035589101,0.000375570206,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.600250,1784814703.504676,20,-0.0204192698,-0.0190704763,-1.51928914,0.295695603,281.827026,-0.00011222429,0.000392334885,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.600250,1784814703.504676,21,-0.016899541,-0.0200623274,-1.5202719,0.295916408,281.85202,4.90994244e-05,0.000438735558,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.632251,1784814703.536677,22,-0.00615693629,-0.0125051439,-1.52078879,0.295964688,281.877014,0.000302790548,7.86474411e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.663486,1784814703.567912,23,-0.00714191794,-0.0112220049,-1.52174461,0.295990318,281.902008,0.000438559131,4.35855618e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.695405,1784814703.599830,24,0.00292114913,-0.000720769167,-1.52372611,0.295645922,281.927002,0.000647948473,-0.000189241648,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.726402,1784814703.630828,25,-0.00261235237,-0.00313454866,-1.52411735,0.295029521,281.952026,0.000709667162,-0.000464034179,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.726402,1784814703.630828,26,0.00400722027,-0.0785658658,-1.52222192,0.295589954,281.97702,-0.0010647953,-0.000593562901,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.758402,1784814703.662827,27,-0.0132874399,-0.0692643821,-1.53380251,0.29684028,282.002014,-0.00153050455,-0.000127610168,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.790405,1784814703.694830,28,-0.0290803611,-0.0522980988,-1.53176677,0.297055036,282.027008,-0.00062825979,0.000501663017,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.821806,1784814703.726232,29,-0.0314860046,-0.0159607232,-1.53476012,0.299043357,282.052002,-8.20052373e-05,0.000586407958,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.852025,1784814703.756451,30,-0.0423085093,-0.024730742,-1.52948928,0.298668325,282.077026,0.000605935464,0.000789731799,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.852025,1784814703.756451,31,-0.0447308123,-0.0557429194,-1.53733969,0.299836427,282.10202,-0.000408001331,0.000940038241,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.883544,1784814703.787970,32,-0.0436756909,-0.0319425464,-1.53238332,0.300158381,282.127014,1.34442416e-06,0.000952417613,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.914783,1784814703.819209,33,-0.0310519338,-0.0493843853,-1.53415906,0.300043494,282.152008,-0.000309008785,0.000495945744,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.960782,1784814703.865207,34,-0.0233475566,-0.0466573834,-1.53175163,0.300245881,282.177002,-5.10177488e-05,8.91755408e-05,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.960782,1784814703.865207,35,-0.0137967765,-0.0692484379,-1.5346638,0.300121784,282.202026,-0.000510303711,-0.000255094084,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
0.991783,1784814703.896209,36,-0.0218899697,-0.0181895196,-1.53475499,0.300278962,282.22702,0.000353189796,-0.000292839803,0,0,1,0.150000006,0,0,0,0,0,0,0,0,0
