Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,1,1,1,1
0.000256000,1,0,0,1,1
0.004452875,0,0,0,1,1
0.005054125,0,1,0,1,1
0.005354750,0,0,0,1,1
0.005957875,0,1,0,1,1
0.006258375,0,0,0,1,1
0.006561125,0,0,1,1,1
0.006861750,0,1,1,1,1
0.007162375,0,0,1,1,1
0.007765500,0,1,1,1,1
0.008066125,0,0,1,1,1
0.008669250,0,1,1,1,1
0.008969875,0,0,1,1,1
0.009573000,0,1,1,1,1
0.009873500,0,0,1,1,1
0.010476625,0,1,1,1,1
0.010777250,0,0,1,1,1
0.011378375,0,1,1,1,1
0.011681000,0,0,1,1,1
0.011982125,0,0,0,1,1
0.012282625,0,1,0,1,1
0.012585250,0,0,0,1,1
0.013186375,0,1,0,1,1
0.013489000,0,0,0,1,1
0.014090125,0,1,0,1,1
0.014390625,0,0,0,1,1
0.014993875,0,1,0,1,1
0.015294375,0,0,0,1,1
0.015897625,0,1,0,1,1
0.016198125,0,0,0,1,1
0.016801375,0,1,0,1,1
0.017101875,0,0,0,1,1
0.017705125,0,1,0,1,1
0.018005625,0,0,0,1,1
0.018608750,0,1,0,1,1
0.018909375,0,0,0,1,1
0.019512375,1,0,0,1,1
0.025450375,0,0,0,1,1
0.026051625,0,1,0,1,1
0.026352125,0,0,0,1,1
0.026955375,0,1,0,1,1
0.027255875,0,0,0,1,1
0.027558625,0,0,1,1,1
0.027859125,0,1,1,1,1
0.028159875,0,0,1,1,1
0.028762875,0,1,1,1,1
0.029063500,0,0,1,1,1
0.029666625,0,1,1,1,1
0.029967250,0,0,1,1,1
0.030570375,0,1,1,1,1
0.030871000,0,0,1,1,1
0.031474125,0,1,1,1,1
0.031774750,0,0,1,1,1
0.032375875,0,1,1,1,1
0.032678500,0,0,1,1,1
0.032979500,0,0,0,1,1
0.033280125,0,1,0,1,1
0.033582750,0,0,0,1,1
0.034183875,0,1,0,1,1
0.034486500,0,0,0,1,1
0.035087625,0,1,0,1,1
0.035388125,0,0,0,1,1
0.035991250,0,1,0,1,1
0.036291875,0,0,0,1,1
0.036895000,0,1,0,1,1
0.037195625,0,0,0,1,1
0.037798750,0,1,0,1,1
0.038099375,0,0,0,1,1
0.038702500,0,1,0,1,1
0.039003125,0,0,0,1,1
0.039606250,0,1,0,1,1
0.039906875,0,0,0,1,1
0.040509875,1,0,0,1,1
0.046447750,0,0,0,1,1
0.047049000,0,1,0,1,1
0.047349625,0,0,0,1,1
0.047952750,0,1,0,1,1
0.048253375,0,0,0,1,1
0.048556000,0,0,1,1,1
0.048856625,0,1,1,1,1
0.049157250,0,0,1,1,1
0.049760375,0,1,1,1,1
0.050061000,0,0,1,1,1
0.050664125,0,1,1,1,1
0.050964750,0,0,1,1,1
0.051567875,0,1,1,1,1
0.051868500,0,0,1,1,1
0.052471625,0,1,1,1,1
0.052772250,0,0,1,1,1
0.053373250,0,1,1,1,1
0.053676000,0,0,1,1,1
0.053977000,0,0,0,1,1
0.054277625,0,1,0,1,1
0.054580125,0,0,0,1,1
0.055181250,0,1,0,1,1
0.055483875,0,0,0,1,1
0.056085000,0,1,0,1,1
0.056385625,0,0,0,1,1
0.056988750,0,1,0,1,1
0.057289375,0,0,0,1,1
0.057892500,0,1,0,1,1
0.058193000,0,0,0,1,1
0.058796250,0,1,0,1,1
0.059096750,0,0,0,1,1
0.059700000,0,1,0,1,1
0.060000500,0,0,0,1,1
0.060603750,0,1,0,1,1
0.060904250,0,0,0,1,1
0.061507250,1,0,0,1,1
0.067445250,0,0,0,1,1
0.068046500,0,1,0,1,1
0.068347000,0,0,0,1,1
0.068950250,0,1,0,1,1
0.069250750,0,0,0,1,1
0.069553500,0,0,1,1,1
0.069854125,0,1,1,1,1
0.070154750,0,0,1,1,1
0.070757875,0,1,1,1,1
0.071058500,0,0,1,1,1
0.071661500,0,1,1,1,1
0.071962125,0,0,1,1,1
0.072565250,0,1,1,1,1
0.072865875,0,0,1,1,1
0.073469000,0,1,1,1,1
0.073769625,0,0,1,1,1
0.074370750,0,1,1,1,1
0.074673375,0,0,1,1,1
0.074974500,0,0,0,1,1
0.075275000,0,1,0,1,1
0.075577625,0,0,0,1,1
0.076178750,0,1,0,1,1
0.076481375,0,0,0,1,1
0.077082500,0,1,0,1,1
0.077383000,0,0,0,1,1
0.077986250,0,1,0,1,1
0.078286750,0,0,0,1,1
0.078890000,0,1,0,1,1
0.079190500,0,0,0,1,1
0.079793750,0,1,0,1,1
0.080094250,0,0,0,1,1
0.080697375,0,1,0,1,1
0.080998000,0,0,0,1,1
0.081601125,0,1,0,1,1
0.081901750,0,0,0,1,1
0.082504750,1,0,0,1,1
0.088442750,0,0,0,1,1
0.089044000,0,1,0,1,1
0.089344500,0,0,0,1,1
0.089947625,0,1,0,1,1
0.090248250,0,0,0,1,1
0.090550875,0,0,1,1,1
0.090851500,0,1,1,1,1
0.091152125,0,0,1,1,1
0.091755250,0,1,1,1,1
0.092055875,0,0,1,1,1
0.092659000,0,1,1,1,1
0.092959625,0,0,1,1,1
0.093562750,0,1,1,1,1
0.093863375,0,0,1,1,1
0.094466500,0,1,1,1,1
0.094767125,0,0,1,1,1
0.095368125,0,1,1,1,1
0.095670875,0,0,1,1,1
0.095971875,0,0,0,1,1
0.096272500,0,1,0,1,1
0.096575000,0,0,0,1,1
0.097176250,0,1,0,1,1
0.097478750,0,0,0,1,1
0.098079875,0,1,0,1,1
0.098380500,0,0,0,1,1
0.098983625,0,1,0,1,1
0.099284250,0,0,0,1,1
0.099887375,0,1,0,1,1
0.100188000,0,0,0,1,1
0.100791125,0,1,0,1,1
0.101091750,0,0,0,1,1
0.101694875,0,1,0,1,1
0.101995375,0,0,0,1,1
0.102598625,0,1,0,1,1
0.102899125,0,0,0,1,1
0.103502125,1,0,0,1,1
0.109440125,0,0,0,1,1
0.110041375,0,1,0,1,1
0.110342000,0,0,0,1,1
0.110945125,0,1,0,1,1
0.111245625,0,0,0,1,1
0.111548375,0,0,1,1,1
0.111849000,0,1,1,1,1
0.112149625,0,0,1,1,1
0.112752750,0,1,1,1,1
0.113053375,0,0,1,1,1
0.113656500,0,1,1,1,1
0.113957125,0,0,1,1,1
0.114560250,0,1,1,1,1
0.114860875,0,0,1,1,1
0.115463875,0,1,1,1,1
0.115764500,0,0,1,1,1
0.116365625,0,1,1,1,1
0.116668250,0,0,1,1,1
0.116969375,0,0,0,1,1
0.117269875,0,1,0,1,1
0.117572500,0,0,0,1,1
0.118173625,0,1,0,1,1
0.118476250,0,0,0,1,1
0.119077375,0,1,0,1,1
0.119378000,0,0,0,1,1
0.119981125,0,1,0,1,1
0.120281625,0,0,0,1,1
0.120884875,0,1,0,1,1
0.121185375,0,0,0,1,1
0.121788625,0,1,0,1,1
0.122089125,0,0,0,1,1
0.122692375,0,1,0,1,1
0.122992875,0,0,0,1,1
0.123596000,0,1,0,1,1
0.123896625,0,0,0,1,1
0.124499625,1,0,0,1,1
0.130437625,0,0,0,1,1
0.131038875,0,1,0,1,1
0.131339375,0,0,0,1,1
0.131942625,0,1,0,1,1
0.132243125,0,0,0,1,1
0.132545875,0,0,1,1,1
0.132846375,0,1,1,1,1
0.133147125,0,0,1,1,1
0.133750125,0,1,1,1,1
0.134050750,0,0,1,1,1
0.134653875,0,1,1,1,1
0.134954500,0,0,1,1,1
0.135557625,0,1,1,1,1
0.135858250,0,0,1,1,1
0.136461375,0,1,1,1,1
0.136762000,0,0,1,1,1
0.137363125,0,1,1,1,1
0.137665750,0,0,1,1,1
0.137966750,0,0,0,1,1
0.138267375,0,1,0,1,1
0.138570000,0,0,0,1,1
0.139171125,0,1,0,1,1
0.139473750,0,0,0,1,1
0.140074875,0,1,0,1,1
0.140375375,0,0,0,1,1
0.140978625,0,1,0,1,1
0.141279125,0,0,0,1,1
0.141882250,0,1,0,1,1
0.142182875,0,0,0,1,1
0.142786000,0,1,0,1,1
0.143086625,0,0,0,1,1
0.143689750,0,1,0,1,1
0.143990375,0,0,0,1,1
0.144593500,0,1,0,1,1
0.144894125,0,0,0,1,1
0.145497125,1,0,0,1,1
0.151435000,0,0,0,1,1
0.152036250,0,1,0,1,1
0.152336875,0,0,0,1,1
0.152940000,0,1,0,1,1
0.153240625,0,0,0,1,1
0.153543250,0,0,1,1,1
0.153843875,0,1,1,1,1
0.154144500,0,0,1,1,1
0.154747625,0,1,1,1,1
0.155048250,0,0,1,1,1
0.155651375,0,1,1,1,1
0.155952000,0,0,1,1,1
0.156555125,0,1,1,1,1
0.156855750,0,0,1,1,1
0.157458875,0,1,1,1,1
0.157759500,0,0,1,1,1
0.158360500,0,1,1,1,1
0.158663250,0,0,1,1,1
0.158964250,0,0,0,1,1
0.159264875,0,1,0,1,1
0.159567375,0,0,0,1,1
0.160168500,0,1,0,1,1
0.160471125,0,0,0,1,1
0.161072250,0,1,0,1,1
0.161372875,0,0,0,1,1
0.161976000,0,1,0,1,1
0.162276625,0,0,0,1,1
0.162879750,0,1,0,1,1
0.163180375,0,0,0,1,1
0.163783500,0,1,0,1,1
0.164084000,0,0,0,1,1
0.164687250,0,1,0,1,1
0.164987750,0,0,0,1,1
0.165591000,0,1,0,1,1
0.165891500,0,0,0,1,1
0.166494500,1,0,0,1,1
0.172432500,0,0,0,1,1
0.173033750,0,1,0,1,1
0.173334375,0,0,0,1,1
0.173937500,0,1,0,1,1
0.174238000,0,0,0,1,1
0.174540750,0,0,1,1,1
0.174841375,0,1,1,1,1
0.175142000,0,0,1,1,1
0.175745125,0,1,1,1,1
0.176045750,0,0,1,1,1
0.176648750,0,1,1,1,1
0.176949375,0,0,1,1,1
0.177552500,0,1,1,1,1
0.177853125,0,0,1,1,1
0.178456250,0,1,1,1,1
0.178756875,0,0,1,1,1
0.179358000,0,1,1,1,1
0.179660625,0,0,1,1,1
0.179961750,0,0,0,1,1
0.180262250,0,1,0,1,1
0.180564875,0,0,0,1,1
0.181166000,0,1,0,1,1
0.181468625,0,0,0,1,1
0.182069750,0,1,0,1,1
0.182370250,0,0,0,1,1
0.182973500,0,1,0,1,1
0.183274000,0,0,0,1,1
0.183877250,0,1,0,1,1
0.184177750,0,0,0,1,1
0.184781000,0,1,0,1,1
0.185081500,0,0,0,1,1
0.185684625,0,1,0,1,1
0.185985250,0,0,0,1,1
0.186588375,0,1,0,1,1
0.186889000,0,0,0,1,1
0.187492000,1,0,0,1,1
0.193430000,0,0,0,1,1
0.194031250,0,1,0,1,1
0.194331750,0,0,0,1,1
0.194934875,0,1,0,1,1
0.195235500,0,0,0,1,1
0.195538250,0,0,1,1,1
0.195838750,0,1,1,1,1
0.196139375,0,0,1,1,1
0.196742500,0,1,1,1,1
0.197043125,0,0,1,1,1
0.197646250,0,1,1,1,1
0.197946875,0,0,1,1,1
0.198550000,0,1,1,1,1
0.198850625,0,0,1,1,1
0.199453750,0,1,1,1,1
0.199754375,0,0,1,1,1
0.200355375,0,1,1,1,1
0.200658125,0,0,1,1,1
0.200959125,0,0,0,1,1
0.201259750,0,1,0,1,1
0.201562250,0,0,0,1,1
0.202163500,0,1,0,1,1
0.202466000,0,0,0,1,1
0.203067125,0,1,0,1,1
0.203367750,0,0,0,1,1
0.203970875,0,1,0,1,1
0.204271500,0,0,0,1,1
0.204874625,0,1,0,1,1
0.205175250,0,0,0,1,1
0.205778375,0,1,0,1,1
0.206079000,0,0,0,1,1
0.206682125,0,1,0,1,1
0.206982625,0,0,0,1,1
0.207585875,0,1,0,1,1
0.207886375,0,0,0,1,1
0.208489375,1,0,0,1,1
0.214427375,0,0,0,1,1
0.215028625,0,1,0,1,1
0.215329250,0,0,0,1,1
0.215932375,0,1,0,1,1
0.216233000,0,0,0,1,1
0.216535625,0,0,1,1,1
