Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,0,0,1,1
0.000256000,1,1,1,1,1
0.042147000,0,1,1,1,1
0.042147250,1,1,1,1,1
0.044449000,1,0,1,1,1
0.044750125,1,1,1,1,1
0.044750250,1,1,0,1,1
0.045051125,1,0,0,1,1
0.045353125,1,1,1,1,1
0.045354125,0,1,1,1,1
0.045655125,0,0,1,1,1
0.045956250,0,1,1,1,1
0.045956375,0,1,0,1,1
0.046258250,0,0,0,1,1
0.046263750,1,1,0,1,1
0.046263875,1,1,1,1,1
0.046559750,1,0,0,1,1
0.046560000,1,1,0,1,1
0.046560125,1,1,1,1,1
0.046560375,1,1,1,0,1
0.046861125,1,0,1,0,1
0.047163000,1,1,1,1,1
0.047777375,1,1,1,0,1
0.048078000,1,0,1,0,1
0.048380000,1,1,1,1,1
0.124137125,0,1,1,1,1
0.124137375,1,1,1,1,1
0.126439000,1,0,1,1,1
0.126740125,1,1,1,1,1
0.126740250,1,1,0,1,1
0.127041125,1,0,0,1,1
0.127343125,1,1,1,1,1
0.127344125,0,1,1,1,1
0.127655750,0,0,1,1,1
0.127957000,0,1,1,1,1
0.127957125,0,1,0,1,1
0.128259125,0,0,0,1,1
0.128263500,1,1,1,1,1
0.128560875,1,0,0,1,1
0.128561000,1,1,0,1,1
0.128561250,1,1,1,1,1
0.128561375,1,1,1,0,1
0.128862125,1,0,1,0,1
0.129164000,1,1,1,1,1
0.129767500,1,1,1,0,1
0.130068125,1,0,1,0,1
0.130370000,1,1,1,1,1
0.206127125,0,1,1,1,1
0.206127375,1,1,1,1,1
0.208429750,1,0,1,1,1
0.208730875,1,1,1,1,1
0.208731000,1,1,0,1,1
0.209031875,1,0,0,1,1
0.209334000,1,1,1,1,1
0.209334875,0,1,1,1,1
0.209635875,0,0,1,1,1
0.209937000,0,1,1,1,1
0.209937250,0,1,0,1,1
0.210239125,0,0,0,1,1
0.210243500,1,1,0,1,1
0.210243625,1,1,1,1,1
0.210540625,1,0,0,1,1
0.210540750,1,1,0,1,1
0.210541000,1,1,1,1,1
0.210541250,1,1,1,0,1
0.210841875,1,0,1,0,1
0.211143750,1,1,1,1,1
0.211747375,1,1,1,0,1
0.212048000,1,0,1,0,1
0.212349875,1,1,1,1,1
0.288117500,0,1,1,1,1
0.288117625,1,1,1,1,1
0.290419250,1,0,1,1,1
0.290720250,1,1,1,1,1
0.290720500,1,1,0,1,1
0.291021375,1,0,0,1,1
0.291323625,1,1,1,1,1
0.291324500,0,1,1,1,1
0.291625625,0,0,1,1,1
0.291926750,0,1,1,1,1
0.291927000,0,1,0,1,1
0.292228875,0,0,0,1,1
0.292233375,1,1,1,1,1
0.292530375,1,0,0,1,1
0.292530625,1,1,0,1,1
0.292530750,1,1,1,1,1
0.292531000,1,1,1,0,1
0.292831750,1,0,1,0,1
0.293133625,1,1,1,1,1
0.293737125,1,1,1,0,1
0.294037750,1,0,1,0,1
0.294339500,1,1,1,1,1
0.370107500,0,1,1,1,1
0.370107750,1,1,1,1,1
0.372409375,1,0,1,1,1
0.372710375,1,1,1,1,1
0.372710625,1,1,0,1,1
0.373011500,1,0,0,1,1
0.373313500,1,1,1,1,1
0.373314375,0,1,1,1,1
0.373615500,0,0,1,1,1
0.373916500,0,1,1,1,1
0.373916750,0,1,0,1,1
0.374218625,0,0,0,1,1
0.374222375,0,1,0,1,1
0.374222500,1,1,1,1,1
0.374520125,1,0,0,1,1
0.374520375,1,1,0,1,1
0.374520500,1,1,1,1,1
0.374520750,1,1,1,0,1
0.374821500,1,0,1,0,1
0.375123375,1,1,1,1,1
0.375726750,1,1,1,0,1
0.376027375,1,0,1,0,1
0.376329250,1,1,1,1,1
0.452097375,0,1,1,1,1
0.452097625,1,1,1,1,1
0.454399375,1,0,1,1,1
0.454700500,1,1,1,1,1
0.454700750,1,1,0,1,1
0.455001625,1,0,0,1,1
0.455303500,1,1,1,1,1
0.455304375,0,1,1,1,1
0.455605500,0,0,1,1,1
0.455906625,0,1,1,1,1
0.455906875,0,1,0,1,1
0.456208625,0,0,0,1,1
0.456212875,1,1,0,1,1
0.456213000,1,1,1,1,1
0.456510250,1,0,0,1,1
0.456510375,1,1,0,1,1
0.456510625,1,1,1,1,1
0.456510750,1,1,1,0,1
0.456811500,1,0,1,0,1
0.457113500,1,1,1,1,1
0.457716875,1,1,1,0,1
0.458017500,1,0,1,0,1
0.458319375,1,1,1,1,1
0.534087500,0,1,1,1,1
0.534087625,1,1,1,1,1
0.536389500,1,0,1,1,1
0.536690625,1,1,1,1,1
0.536690750,1,1,0,1,1
0.536991625,1,0,0,1,1
0.537293625,1,1,1,1,1
0.537294500,0,1,1,1,1
0.537595625,0,0,1,1,1
0.537896750,0,1,1,1,1
0.537897000,0,1,0,1,1
0.538198750,0,0,0,1,1
0.538203250,1,1,1,1,1
0.538500375,1,0,0,1,1
0.538500500,1,1,0,1,1
0.538500750,1,1,1,1,1
0.538500875,1,1,1,0,1
0.538801625,1,0,1,0,1
0.539103500,1,1,1,1,1
0.539707000,1,1,1,0,1
0.540007625,1,0,1,0,1
0.540309625,1,1,1,1,1
0.616077500,0,1,1,1,1
0.616077625,1,1,1,1,1
0.618379625,1,0,1,1,1
0.618680625,1,1,1,1,1
0.618680875,1,1,0,1,1
0.618981750,1,0,0,1,1
0.619283750,1,1,1,1,1
0.619284625,0,1,1,1,1
0.619585750,0,0,1,1,1
0.619886750,0,1,1,1,1
0.619887000,0,1,0,1,1
0.620188875,0,0,0,1,1
0.620193750,1,1,1,1,1
0.620490375,1,0,0,1,1
0.620490625,1,1,0,1,1
0.620490750,1,1,1,1,1
0.620491000,1,1,1,0,1
0.620791750,1,0,1,0,1
0.621093625,1,1,1,1,1
