kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error
sample,1779009829.8120558,0,0,0,1100,30759,1000,0,6,5.975342465753425,,,,,,
sample,1779009829.83707,0,0,0,1100,30759,1000,1,4,3.9835616438356163,,,,,,
sample,1779009829.86207,0,0,0,1100,30759,1000,2,4,3.9835616438356163,,,,,,
sample,1779009829.8871036,0,0,0,1100,30759,1000,3,4,3.9835616438356163,,,,,,
sample,1779009829.9121032,0,0,0,1100,30759,1000,4,3,2.9876712328767123,,,,,,
sample,1779009829.937103,0,0,0,1100,30759,1000,5,3,2.9876712328767123,,,,,,
sample,1779009829.961893,0,0,0,1100,30759,1000,6,3,2.9876712328767123,,,,,,
sample,1779009829.9864273,0,0,0,1100,30759,1000,7,4,3.9835616438356163,,,,,,
sample,1779009830.0114274,0,0,0,1100,30759,1000,8,4,3.9835616438356163,,,,,,
sample,1779009830.0364273,0,0,0,1100,30759,1000,9,4,3.9835616438356163,,,,,,
sample,1779009830.0614266,0,0,0,1100,30759,1000,10,0,0.0,,,,,,
sample,1779009830.0862775,0,0,0,1100,30759,1000,11,0,0.0,,,,,,
sample,1779009830.1113083,0,0,0,1100,30759,1000,12,0,0.0,,,,,,
sample,1779009830.1353192,0,0,0,1100,30759,1000,13,0,0.0,,,,,,
sample,1779009830.1608405,0,0,0,1100,30759,1000,14,0,0.0,,,,,,
sample,1779009830.184854,0,0,0,1100,30759,1000,15,0,0.0,,,,,,
sample,1779009830.210363,0,0,0,1100,30759,1000,16,0,0.0,,,,,,
sample,1779009830.2353628,0,0,0,1100,30759,1000,17,1,0.9958904109589041,,,,,,
sample,1779009830.260363,0,0,0,1100,30759,1000,18,1,0.9958904109589041,,,,,,
sample,1779009830.2850642,0,0,0,1100,30759,1000,19,1,0.9958904109589041,,,,,,
summary,1779009830.2850642,0,0,0,1100,30759,1000,,,,20,2.091,0.000,5.975,1.913,
sample,1779009830.8174121,1,0,5,1142,31764,1000,0,4,3.9835616438356163,,,,,,
sample,1779009830.8421056,1,0,5,1142,31764,1000,1,4,3.9835616438356163,,,,,,
sample,1779009830.8671052,1,0,5,1142,31764,1000,2,4,3.9835616438356163,,,,,,
sample,1779009830.8911927,1,0,5,1142,31764,1000,3,2,1.9917808219178081,,,,,,
sample,1779009830.9161918,1,0,5,1142,31764,1000,4,2,1.9917808219178081,,,,,,
sample,1779009830.9412034,1,0,5,1142,31764,1000,5,2,1.9917808219178081,,,,,,
