kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error
sample,1779021329.759676,0,1,0,1100,11076,500,0,18,17.926027397260274,,,,,,
sample,1779021329.784679,0,1,0,1100,11076,500,1,20,19.91780821917808,,,,,,
sample,1779021329.8094177,0,1,0,1100,11076,500,2,20,19.91780821917808,,,,,,
sample,1779021329.8354084,0,1,0,1100,11076,500,3,20,19.91780821917808,,,,,,
sample,1779021329.8596258,0,1,0,1100,11076,500,4,24,23.9013698630137,,,,,,
sample,1779021329.8846283,0,1,0,1100,11076,500,5,24,23.9013698630137,,,,,,
sample,1779021329.9091537,0,1,0,1100,11076,500,6,24,23.9013698630137,,,,,,
sample,1779021329.9341373,0,1,0,1100,11076,500,7,30,29.876712328767123,,,,,,
sample,1779021329.9611402,0,1,0,1100,11076,500,8,30,29.876712328767123,,,,,,
sample,1779021329.9861586,0,1,0,1100,11076,500,9,30,29.876712328767123,,,,,,
sample,1779021330.010693,0,1,0,1100,11076,500,10,31,30.872602739726027,,,,,,
sample,1779021330.0356858,0,1,0,1100,11076,500,11,31,30.872602739726027,,,,,,
sample,1779021330.0605507,0,1,0,1100,11076,500,12,31,30.872602739726027,,,,,,
sample,1779021330.0865467,0,1,0,1100,11076,500,13,32,31.86849315068493,,,,,,
sample,1779021330.1120706,0,1,0,1100,11076,500,14,32,31.86849315068493,,,,,,
sample,1779021330.1370728,0,1,0,1100,11076,500,15,32,31.86849315068493,,,,,,
sample,1779021330.1619139,0,1,0,1100,11076,500,16,31,30.872602739726027,,,,,,
sample,1779021330.1867502,0,1,0,1100,11076,500,17,31,30.872602739726027,,,,,,
sample,1779021330.2122612,0,1,0,1100,11076,500,18,31,30.872602739726027,,,,,,
sample,1779021330.2373347,0,1,0,1100,11076,500,19,28,27.884931506849313,,,,,,
summary,1779021330.2373347,0,1,0,1100,11076,500,,,,20,27.387,17.926,31.868,4.719,
sample,1779021330.2653437,1,1,5,1142,11582,500,0,28,27.884931506849313,,,,,,
sample,1779021330.2905803,1,1,5,1142,11582,500,1,28,27.884931506849313,,,,,,
sample,1779021330.3159173,1,1,5,1142,11582,500,2,26,25.893150684931506,,,,,,
sample,1779021330.340911,1,1,5,1142,11582,500,3,26,25.893150684931506,,,,,,
sample,1779021330.3660023,1,1,5,1142,11582,500,4,26,25.893150684931506,,,,,,
sample,1779021330.3900201,1,1,5,1142,11582,500,5,26,25.893150684931506,,,,,,
sample,1779021330.4155433,1,1,5,1142,11582,500,6,26,25.893150684931506,,,,,,
sample,1779021330.4405448,1,1,5,1142,11582,500,7,26,25.893150684931506,,,,,,
sample,1779021330.4655445,1,1,5,1142,11582,500,8,27,26.88904109589041,,,,,,
sample,1779021330.4905663,1,1,5,1142,11582,500,9,27,26.88904109589041,,,,,,
sample,1779021330.515082,1,1,5,1142,11582,500,10,27,26.88904109589041,,,,,,
sample,1779021330.53942,1,1,5,1142,11582,500,11,38,37.843835616438355,,,,,,
sample,1779021330.5644119,1,1,5,1142,11582,500,12,38,37.843835616438355,,,,,,
sample,1779021330.5894268,1,1,5,1142,11582,500,13,38,37.843835616438355,,,,,,
sample,1779021330.614325,1,1,5,1142,11582,500,14,49,48.7986301369863,,,,,,
sample,1779021330.6395352,1,1,5,1142,11582,500,15,49,48.7986301369863,,,,,,
sample,1779021330.6635447,1,1,5,1142,11582,500,16,49,48.7986301369863,,,,,,
sample,1779021330.6885455,1,1,5,1142,11582,500,17,57,56.76575342465753,,,,,,
sample,1779021330.7136514,1,1,5,1142,11582,500,18,57,56.76575342465753,,,,,,
sample,1779021330.7386508,1,1,5,1142,11582,500,19,57,56.76575342465753,,,,,,
summary,1779021330.7386508,1,1,5,1142,11582,500,,,,20,36.101,25.893,56.766,11.808,
sample,1779021330.7706518,2,1,10,1184,12087,500,0,67,66.72465753424657,,,,,,
sample,1779021330.7956634,2,1,10,1184,12087,500,1,67,66.72465753424657,,,,,,
sample,1779021330.8207781,2,1,10,1184,12087,500,2,67,66.72465753424657,,,,,,
sample,1779021330.8457787,2,1,10,1184,12087,500,3,80,79.67123287671232,,,,,,
sample,1779021330.8710127,2,1,10,1184,12087,500,4,80,79.67123287671232,,,,,,
sample,1779021330.8960123,2,1,10,1184,12087,500,5,80,79.67123287671232,,,,,,
sample,1779021330.9211497,2,1,10,1184,12087,500,6,98,97.5972602739726,,,,,,
sample,1779021330.946149,2,1,10,1184,12087,500,7,98,97.5972602739726,,,,,,
sample,1779021330.9711478,2,1,10,1184,12087,500,8,98,97.5972602739726,,,,,,
sample,1779021330.9961512,2,1,10,1184,12087,500,9,122,121.49863013698629,,,,,,
sample,1779021331.0206897,2,1,10,1184,12087,500,10,122,121.49863013698629,,,,,,
sample,1779021331.0465102,2,1,10,1184,12087,500,11,122,121.49863013698629,,,,,,
sample,1779021331.0715082,2,1,10,1184,12087,500,12,156,155.35890410958905,,,,,,
sample,1779021331.0965118,2,1,10,1184,12087,500,13,156,155.35890410958905,,,,,,
sample,1779021331.1210396,2,1,10,1184,12087,500,14,156,155.35890410958905,,,,,,
sample,1779021331.1460478,2,1,10,1184,12087,500,15,186,185.23561643835615,,,,,,
sample,1779021331.1720448,2,1,10,1184,12087,500,16,186,185.23561643835615,,,,,,
sample,1779021331.196061,2,1,10,1184,12087,500,17,186,185.23561643835615,,,,,,
sample,1779021331.221579,2,1,10,1184,12087,500,18,216,215.11232876712327,,,,,,
sample,1779021331.2465687,2,1,10,1184,12087,500,19,216,215.11232876712327,,,,,,
summary,1779021331.2465687,2,1,10,1184,12087,500,,,,20,127.424,66.725,215.112,49.201,
sample,1779021331.276578,3,1,15,1226,12593,500,0,216,215.11232876712327,,,,,,
sample,1779021331.301054,3,1,15,1226,12593,500,1,230,229.05479452054794,,,,,,
sample,1779021331.3265812,3,1,15,1226,12593,500,2,230,229.05479452054794,,,,,,
sample,1779021331.3515863,3,1,15,1226,12593,500,3,230,229.05479452054794,,,,,,
sample,1779021331.3765862,3,1,15,1226,12593,500,4,245,243.9931506849315,,,,,,
sample,1779021331.4010594,3,1,15,1226,12593,500,5,245,243.9931506849315,,,,,,
sample,1779021331.4265697,3,1,15,1226,12593,500,6,245,243.9931506849315,,,,,,
sample,1779021331.4515805,3,1,15,1226,12593,500,7,273,271.87808219178083,,,,,,
sample,1779021331.4765694,3,1,15,1226,12593,500,8,273,271.87808219178083,,,,,,
sample,1779021331.5012164,3,1,15,1226,12593,500,9,273,271.87808219178083,,,,,,
sample,1779021331.5252612,3,1,15,1226,12593,500,10,315,313.70547945205476,,,,,,
sample,1779021331.5507774,3,1,15,1226,12593,500,11,315,313.70547945205476,,,,,,
sample,1779021331.5757837,3,1,15,1226,12593,500,12,315,313.70547945205476,,,,,,
sample,1779021331.6007853,3,1,15,1226,12593,500,13,356,354.53698630136984,,,,,,
sample,1779021331.6278827,3,1,15,1226,12593,500,14,356,354.53698630136984,,,,,,
sample,1779021331.653005,3,1,15,1226,12593,500,15,356,354.53698630136984,,,,,,
sample,1779021331.678087,3,1,15,1226,12593,500,16,399,397.3602739726027,,,,,,
sample,1779021331.7030125,3,1,15,1226,12593,500,17,399,397.3602739726027,,,,,,
sample,1779021331.727526,3,1,15,1226,12593,500,18,399,397.3602739726027,,,,,,
sample,1779021331.7525313,3,1,15,1226,12593,500,19,437,435.2041095890411,,,,,,
summary,1779021331.7535222,3,1,15,1226,12593,500,,,,20,304.095,215.112,435.204,67.066,
sample,1779021331.7815275,4,1,20,1268,13098,500,0,437,435.2041095890411,,,,,,
sample,1779021331.8066778,4,1,20,1268,13098,500,1,437,435.2041095890411,,,,,,
sample,1779021331.831769,4,1,20,1268,13098,500,2,458,456.1178082191781,,,,,,
sample,1779021331.8568964,4,1,20,1268,13098,500,3,458,456.1178082191781,,,,,,
sample,1779021331.8818877,4,1,20,1268,13098,500,4,458,456.1178082191781,,,,,,
sample,1779021331.9077764,4,1,20,1268,13098,500,5,486,484.00273972602736,,,,,,
sample,1779021331.9323194,4,1,20,1268,13098,500,6,486,484.00273972602736,,,,,,
sample,1779021331.9573102,4,1,20,1268,13098,500,7,486,484.00273972602736,,,,,,
sample,1779021331.9833097,4,1,20,1268,13098,500,8,535,532.8013698630136,,,,,,
sample,1779021332.0083275,4,1,20,1268,13098,500,9,535,532.8013698630136,,,,,,
sample,1779021332.0325558,4,1,20,1268,13098,500,10,535,532.8013698630136,,,,,,
sample,1779021332.0574276,4,1,20,1268,13098,500,11,588,585.5835616438355,,,,,,
sample,1779021332.0834217,4,1,20,1268,13098,500,12,588,585.5835616438355,,,,,,
sample,1779021332.1084507,4,1,20,1268,13098,500,13,588,585.5835616438355,,,,,,
