host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826253.134362,3,1,20,roll,doublet,1412,1881,-0.764,-0.546,4.12,-0.11,1,1100,IDENT sample id=3 seq=1 t_ms=20 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.764 pitch=-0.546 gx=4.12 gy=-0.11 rc_arm=1 throttle_us=1100
1779826253.256751,3,8,160,roll,doublet,1412,1881,-0.787,-0.535,4.0,-0.01,1,1100,IDENT sample id=3 seq=8 t_ms=160 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.787 pitch=-0.535 gx=4.00 gy=-0.01 rc_arm=1 throttle_us=1100
1779826253.365878,3,14,281,roll,doublet,1412,1881,-0.778,-0.523,4.12,-0.02,1,1100,IDENT sample id=3 seq=14 t_ms=281 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.778 pitch=-0.523 gx=4.12 gy=-0.02 rc_arm=1 throttle_us=1100
1779826253.372993,3,16,321,roll,doublet,1412,1881,-0.777,-0.521,4.15,-0.06,1,1100,IDENT sample id=3 seq=16 t_ms=321 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.777 pitch=-0.521 gx=4.15 gy=-0.06 rc_arm=1 throttle_us=1100
1779826253.481942,3,20,401,roll,doublet,1412,1881,-0.79,-0.511,4.32,0.0,1,1100,IDENT sample id=3 seq=20 t_ms=401 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.790 pitch=-0.511 gx=4.32 gy=0.00 rc_arm=1 throttle_us=1100
1779826253.594641,3,27,541,roll,doublet,1412,1881,-0.82,-0.512,4.18,-0.02,1,1100,IDENT sample id=3 seq=27 t_ms=541 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.820 pitch=-0.512 gx=4.18 gy=-0.02 rc_arm=1 throttle_us=1100
1779826253.811423,3,35,701,roll,doublet,1412,1821,-0.81,-0.513,4.16,-0.09,1,1100,IDENT sample id=3 seq=35 t_ms=701 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.810 pitch=-0.513 gx=4.16 gy=-0.09 rc_arm=1 throttle_us=1100
1779826253.819704,3,39,781,roll,doublet,1412,1821,-0.583,-0.521,0.63,-1.0,1,1100,IDENT sample id=3 seq=39 t_ms=781 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.583 pitch=-0.521 gx=0.63 gy=-1.00 rc_arm=1 throttle_us=1100
1779826253.944760,3,46,921,roll,doublet,1412,1821,-0.819,-0.528,5.12,-0.08,1,1100,IDENT sample id=3 seq=46 t_ms=921 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.819 pitch=-0.528 gx=5.12 gy=-0.08 rc_arm=1 throttle_us=1100
1779826254.051665,3,51,1021,roll,doublet,1412,1821,-0.875,-0.517,3.58,-0.08,1,1100,IDENT sample id=3 seq=51 t_ms=1021 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.875 pitch=-0.517 gx=3.58 gy=-0.08 rc_arm=1 throttle_us=1100
1779826254.159774,3,54,1081,roll,doublet,1412,1821,-0.825,-0.528,2.99,-0.23,1,1100,IDENT sample id=3 seq=54 t_ms=1081 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.825 pitch=-0.528 gx=2.99 gy=-0.23 rc_arm=1 throttle_us=1100
1779826254.268996,3,57,1141,roll,doublet,1412,1821,-0.739,-0.528,3.22,-0.1,1,1100,IDENT sample id=3 seq=57 t_ms=1141 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.739 pitch=-0.528 gx=3.22 gy=-0.10 rc_arm=1 throttle_us=1100
1779826254.274652,3,59,1181,roll,doublet,1412,1821,-0.697,-0.532,3.85,-0.1,1,1100,IDENT sample id=3 seq=59 t_ms=1181 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.697 pitch=-0.532 gx=3.85 gy=-0.10 rc_arm=1 throttle_us=1100
1779826254.394254,3,62,1241,roll,doublet,1412,1821,-0.682,-0.546,4.66,-0.23,1,1100,IDENT sample id=3 seq=62 t_ms=1241 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.682 pitch=-0.546 gx=4.66 gy=-0.23 rc_arm=1 throttle_us=1100
1779826254.401388,3,65,1301,roll,doublet,1412,1821,-0.729,-0.542,5.15,-0.11,1,1100,IDENT sample id=3 seq=65 t_ms=1301 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.729 pitch=-0.542 gx=5.15 gy=-0.11 rc_arm=1 throttle_us=1100
1779826254.516980,3,70,1401,roll,doublet,1412,1881,-0.832,-0.547,4.14,-0.19,1,1100,IDENT sample id=3 seq=70 t_ms=1401 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.832 pitch=-0.547 gx=4.14 gy=-0.19 rc_arm=1 throttle_us=1100
1779826254.522976,3,73,1462,roll,doublet,1412,1881,-0.864,-0.542,3.96,-0.11,1,1100,IDENT sample id=3 seq=73 t_ms=1462 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.864 pitch=-0.542 gx=3.96 gy=-0.11 rc_arm=1 throttle_us=1100
1779826254.641915,3,75,1502,roll,doublet,1412,1881,-0.892,-0.541,2.78,-0.05,1,1100,IDENT sample id=3 seq=75 t_ms=1502 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.892 pitch=-0.541 gx=2.78 gy=-0.05 rc_arm=1 throttle_us=1100
1779826254.647650,3,77,1542,roll,doublet,1412,1881,-0.817,-0.535,2.14,-0.08,1,1100,IDENT sample id=3 seq=77 t_ms=1542 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.817 pitch=-0.535 gx=2.14 gy=-0.08 rc_arm=1 throttle_us=1100
1779826254.656020,3,79,1582,roll,doublet,1412,1881,-0.763,-0.535,2.63,-0.18,1,1100,IDENT sample id=3 seq=79 t_ms=1582 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.763 pitch=-0.535 gx=2.63 gy=-0.18 rc_arm=1 throttle_us=1100
1779826254.777827,3,81,1622,roll,doublet,1412,1881,-0.678,-0.542,3.29,-0.21,1,1100,IDENT sample id=3 seq=81 t_ms=1622 axis=roll mode=doublet alpha_us=1412 beta_us=1881 roll=-0.678 pitch=-0.542 gx=3.29 gy=-0.21 rc_arm=1 throttle_us=1100
