"host_time_s","stage","timestamp_us","sequence","raw_temperature","raw_accel_x","raw_accel_y","raw_accel_z","raw_gyro_x","raw_gyro_y","raw_gyro_z","temperature_c","accel_x_g","accel_y_g","accel_z_g","gyro_x_dps","gyro_y_dps","gyro_z_dps","roll_deg","pitch_deg","yaw_deg","roll_acc_deg","pitch_acc_deg","roll_gyro_deg","pitch_gyro_deg","roll_residual_deg","pitch_residual_deg","accel_norm_g","accel_residual_deg","dt_ms","gyro_bias_ready","imu_data_ready_count","imu_poll_ready_count"
"0.0017491","baseline","1050483400","1038906","410","20","8110","-122","-9","-8","0","28.20313","0.01330968","-0.002708114","0.9931011","-0.007863287","-0.005633477","0.02373442","0.3392215","1.92777","36.30933","-0.156241","0.7678374","0.2833169","2.783863","-0.4395579","-2.014518","0.9927191","2.056787","1.008","1","1038907","0"
"0.3352948","baseline","1050505584","1038928","394","1","8095","-117","-12","-10","2","28.25","0.01502606","-0.002262566","0.992012","0.02039","-0.06017596","-0.009647734","0.3394392","1.927543","36.30996","-0.1306791","0.8677939","0.2835346","2.783636","-0.4142137","-1.915842","0.9921284","1.960108","1.008","1","1038930","0"
"0.3405156","baseline","1050510626","1038933","396","-29","8151","-124","-9","-8","2","28.09375","0.01472511","-0.0004706362","0.9938018","-0.01341713","-0.05711333","0.02845037","0.3395479","1.927576","36.31005","-0.02713364","0.8488861","0.2836432","2.783669","-0.3107769","-1.934783","0.993911","1.959583","1.008","1","1038934","0"
"0.3455249","baseline","1050515668","1038938","398","0","8168","-84","-10","-8","1","28.10938","0.01394512","-0.0001090254","0.9954285","-0.002871579","-0.03434911","0.05395339","0.3395053","1.927354","36.31025","-0.01196628","0.7733799","0.2836007","2.783446","-0.2955669","-2.010067","0.9955192","2.031681","1.008","1","1038939","0"
"0.3503028","baseline","1050520710","1038943","400","10","8115","-109","-21","-9","4","28.125","0.01389681","-0.0008297645","0.9933298","-0.07099447","0.1922087","0.02574098","0.3398297","1.928115","36.31055","-0.05478492","0.7904923","0.283925","2.784207","-0.3387099","-1.993715","0.9934759","2.022282","1.008","1","1038944","0"
"0.3552086","baseline","1050525752","1038948","398","10","8101","-119","-14","-7","0","28.10938","0.01445334","-0.002279002","0.992447","0.002058093","0.05418992","0.04916204","0.3399487","1.928612","36.3108","-0.1141038","0.8152472","0.2840329","2.784705","-0.3981366","-1.969458","0.9921404","2.009298","1.008","1","1038949","0"
"0.3602842","baseline","1050530794","1038953","398","-11","8173","-87","-11","-10","0","28.10938","0.01387922","-0.001470287","0.9941992","0.05629214","-0.06141435","-0.006328469","0.3398095","1.928548","36.31096","-0.04227704","0.7944196","0.2838864","2.784641","-0.3261635","-1.990221","0.9944794","2.01677","1.008","1","1038954","0"
"0.3655834","baseline","1050535836","1038958","400","-14","8161","-99","-9","-9","0","28.07813","0.01351292","0.0004799834","0.995362","0.01378491","-0.06957336","-0.02735506","0.3397726","1.928251","36.31097","0.02762917","0.777793","0.283868","2.784343","-0.2562388","-2.00655","0.9954538","2.022845","1.008","1","1038959","0"
"0.3708062","baseline","1050540877","1038964","400","19","8108","-104","-6","-14","-1","28.125","0.01361188","-0.001515583","0.9937041","0.04893582","-0.1260318","-0.05330236","0.3396755","1.927972","36.31093","-0.08738662","0.7847947","0.2837708","2.784065","-0.3711574","-1.99927","0.9937984","2.061982","1.008","1","1038965","0"
"0.3758689","baseline","1050546928","1038969","396","14","8101","-124","-17","-13","3","28.04688","0.01392527","-0.002214384","0.9921265","0.0009691389","0.01234203","-0.1058274","0.3395188","1.927675","36.3106","-0.1278815","0.8041359","0.2836141","2.783768","-0.4114956","-1.979632","0.9922267","2.021947","1.008","1","1038970","0"
"0.3819362","baseline","1050551970","1038974","402","-32","8147","-112","-10","-10","2","28.14063","0.01340926","-0.0005772764","0.9936493","0.0287066","-0.1252423","-0.02600297","0.3394008","1.927344","36.31044","-0.0332869","0.7731576","0.2834961","2.783437","-0.316783","-2.010279","0.99374","2.035086","1.008","1","1038975","0"
"0.3869466","baseline","1050559029","1038981","388","-7","8169","-96","-13","-8","3","28.07813","0.01389581","-0.0002194618","0.9950089","-0.02309286","-0.005186512","-0.04881985","0.3395465","1.927392","36.31023","-0.01263731","0.8001129","0.2836418","2.783485","-0.2962792","-1.983372","0.995106","2.005379","1.008","1","1038983","0"
"0.3954127","baseline","1050566087","1038988","396","47","8139","-133","-16","-9","5","28.09375","0.01380373","-0.00269415","0.9936667","-0.07454059","0.1304529","0.002845241","0.3398272","1.928175","36.31019","-0.1520084","0.8386973","0.2840022","2.784383","-0.4360106","-1.945686","0.9931935","1.99394","1.009","1","1038989","0"
"0.4007035","baseline","1050571129","1038993","398","36","8167","-112","-13","-11","1","28.10938","0.01443771","-0.002459174","0.9939647","-0.0005056616","0.01349748","-0.006856572","0.3401166","1.928542","36.31021","-0.1417555","0.8321816","0.2842119","2.784635","-0.4259674","-1.952453","0.9940726","1.99838","1.009","1","1038994","0"
"0.4060648","baseline","1050576171","1038998","386","0","8152","-140","-11","-11","3","27.98438","0.01552594","-0.0003213602","0.994755","-0.01411111","-0.0767141","-0.02932118","0.3400781","1.928331","36.31023","-0.01850967","0.8941883","0.2841735","2.784424","-0.3026831","-1.890235","0.9948763","1.914316","1.009","1","1038999","0"
"0.4110015","baseline","1050581213","1039003","398","4","8139","-146","-17","-5","3","28.10938","0.0143888","0.0004578565","0.9945727","-0.02289345","0.04893198","0.06715647","0.340145","1.92827","36.3103","0.02637639","0.8657972","0.2842403","2.784363","-0.2578639","-1.918566","0.9946864","1.935817","1.009","1","1039004","0"
"0.4158916","baseline","1050586255","1039008","398","49","8156","-104","-13","-7","4","28.10938","0.01476738","-0.001474847","0.9936927","-0.0530896","0.005676615","-0.00602011","0.3403233","1.928394","36.31039","-0.1117394","0.8559129","0.2844643","2.784486","-0.3962037","-1.928573","0.9937991","1.96885","1.009","1","1039009","0"
"0.4206414","baseline","1050591297","1039013","406","41","8132","-140","-11","-11","0","28.17188","0.01565485","-0.001922092","0.992099","0.01118218","-0.03730696","-0.05360021","0.3404391","1.928334","36.31033","-0.1110047","0.9040232","0.2845123","2.784418","-0.4281371","-1.885697","0.9928385","1.933689","1.009","1","1039014","0"
