index,timestamp_us,dt_us,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_filt_x_g,accel_filt_y_g,accel_filt_z_g,gyro_filt_x_dps,gyro_filt_y_dps,gyro_filt_z_dps,roll_deg,pitch_deg,yaw_deg,motor_upper_us,motor_lower_us,servo_alpha_us,servo_beta_us,accel_error_deg,fusion_flags,flight_flags,armed,gyro_bias_ready
0,76467360,,9,2034,-34,-9,-8,1,0.00439453125,0.9931640625,-0.0166015625,-0.27439024390243905,-0.24390243902439027,0.030487804878048783,0.016,-0.003,0.993,0.0,-0.07,0.01,0.21,-0.99,0.17,1100,1100,1500,1500,0.06,0,2,0,1
1,76468369,1009,8,2034,-35,-11,-7,1,0.00390625,0.9931640625,-0.01708984375,-0.3353658536585366,-0.2134146341463415,0.030487804878048783,0.016,-0.003,0.993,0.0,-0.07,0.02,0.21,-0.99,0.17,1100,1100,1500,1500,0.05,0,2,0,1
2,76469377,1008,7,2033,-37,-12,-7,1,0.00341796875,0.99267578125,-0.01806640625,-0.3658536585365854,-0.2134146341463415,0.030487804878048783,0.016,-0.003,0.993,-0.01,-0.05,0.03,0.21,-0.99,0.17,1100,1100,1500,1500,0.04,0,2,0,1
3,76470385,1008,6,2034,-37,-10,-8,1,0.0029296875,0.9931640625,-0.01806640625,-0.30487804878048785,-0.24390243902439027,0.030487804878048783,0.016,-0.003,0.993,-0.01,-0.06,0.03,0.21,-0.99,0.17,1100,1100,1500,1500,0.03,0,2,0,1
4,76471394,1009,6,2036,-35,-10,-9,1,0.0029296875,0.994140625,-0.01708984375,-0.30487804878048785,-0.27439024390243905,0.030487804878048783,0.016,-0.003,0.993,-0.01,-0.07,0.01,0.21,-0.99,0.17,1100,1100,1500,1500,0.03,0,2,0,1
5,76472402,1008,6,2036,-32,-11,-9,1,0.0029296875,0.994140625,-0.015625,-0.3353658536585366,-0.27439024390243905,0.030487804878048783,0.016,-0.003,0.993,-0.01,-0.06,0.0,0.21,-0.99,0.17,1100,1100,1500,1500,0.04,0,2,0,1
6,76473411,1009,6,2035,-30,-13,-9,2,0.0029296875,0.99365234375,-0.0146484375,-0.39634146341463417,-0.27439024390243905,0.06097560975609757,0.016,-0.003,0.993,-0.02,-0.04,0.0,0.21,-0.99,0.17,1100,1100,1500,1500,0.06,0,2,0,1
7,76474419,1008,7,2033,-31,-14,-9,2,0.00341796875,0.99267578125,-0.01513671875,-0.426829268292683,-0.27439024390243905,0.06097560975609757,0.016,-0.003,0.993,-0.03,-0.01,0.0,0.21,-0.99,0.17,1100,1100,1500,1500,0.06,0,2,0,1
8,76475427,1008,7,2030,-32,-14,-9,2,0.00341796875,0.9912109375,-0.015625,-0.426829268292683,-0.27439024390243905,0.06097560975609757,0.016,-0.003,0.993,-0.03,0.0,0.0,0.21,-0.99,0.17,1100,1100,1500,1500,0.07,0,2,0,1
9,76476436,1009,7,2030,-33,-15,-9,2,0.00341796875,0.9912109375,-0.01611328125,-0.4573170731707317,-0.27439024390243905,0.06097560975609757,0.016,-0.003,0.992,-0.04,0.01,0.0,0.21,-0.99,0.17,1100,1100,1500,1500,0.07,0,2,0,1
