index,timestamp_us,dt_us,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_filt_x_g,accel_filt_y_g,accel_filt_z_g,gyro_filt_x_dps,gyro_filt_y_dps,gyro_filt_z_dps,roll_deg,pitch_deg,yaw_deg,motor_upper_us,motor_lower_us,servo_alpha_us,servo_beta_us,accel_error_deg,fusion_flags,flight_flags,armed,gyro_bias_ready
0,181629378,,12,2033,-30,-13,-10,1,0.005859375,0.99267578125,-0.0146484375,-0.39634146341463417,-0.30487804878048785,0.030487804878048783,0.015,-0.005,0.993,-0.06,0.0,-0.02,0.42,-0.99,6.23,1100,1100,1500,1500,0.14,0,3,1,1
1,181630387,1009,12,2034,-30,-12,-9,1,0.005859375,0.9931640625,-0.0146484375,-0.3658536585365854,-0.27439024390243905,0.030487804878048783,0.015,-0.005,0.993,-0.05,0.0,-0.02,0.42,-0.99,6.23,1100,1100,1500,1500,0.14,0,3,1,1
2,181631395,1008,12,2035,-31,-12,-8,1,0.005859375,0.99365234375,-0.01513671875,-0.3658536585365854,-0.24390243902439027,0.030487804878048783,0.015,-0.005,0.993,-0.05,-0.01,-0.01,0.42,-0.99,6.23,1100,1100,1500,1500,0.14,0,3,1,1
3,181632403,1008,12,2033,-30,-14,-9,2,0.005859375,0.99267578125,-0.0146484375,-0.426829268292683,-0.27439024390243905,0.06097560975609757,0.015,-0.005,0.993,-0.06,0.0,-0.01,0.42,-0.99,6.23,1100,1100,1500,1500,0.15,0,3,1,1
4,181633412,1009,12,2034,-30,-16,-9,2,0.005859375,0.9931640625,-0.0146484375,-0.48780487804878053,-0.27439024390243905,0.06097560975609757,0.015,-0.005,0.993,-0.07,0.03,-0.01,0.42,-0.99,6.23,1100,1100,1500,1500,0.15,0,3,1,1
5,181634420,1008,12,2037,-33,-17,-9,2,0.005859375,0.99462890625,-0.01611328125,-0.5182926829268293,-0.27439024390243905,0.06097560975609757,0.015,-0.005,0.993,-0.07,0.06,-0.01,0.42,-0.99,6.23,1100,1100,1500,1500,0.14,0,3,1,1
6,181635428,1008,11,2039,-35,-16,-9,1,0.00537109375,0.99560546875,-0.01708984375,-0.48780487804878053,-0.27439024390243905,0.030487804878048783,0.015,-0.005,0.993,-0.06,0.07,-0.01,0.42,-0.99,6.23,1100,1100,1500,1500,0.13,0,3,1,1
7,181636437,1009,11,2037,-36,-14,-9,0,0.00537109375,0.99462890625,-0.017578125,-0.426829268292683,-0.27439024390243905,0.0,0.015,-0.005,0.993,-0.05,0.05,-0.01,0.42,-0.99,6.23,1100,1100,1500,1500,0.12,0,3,1,1
8,181637445,1008,11,2035,-35,-15,-10,0,0.00537109375,0.99365234375,-0.01708984375,-0.4573170731707317,-0.30487804878048785,0.0,0.016,-0.005,0.993,-0.04,0.06,-0.02,0.42,-0.99,6.23,1100,1100,1500,1500,0.12,0,3,1,1
9,181638454,1009,12,2035,-33,-15,-10,0,0.005859375,0.99365234375,-0.01611328125,-0.4573170731707317,-0.30487804878048785,0.0,0.016,-0.005,0.993,-0.03,0.06,-0.03,0.42,-0.99,6.23,1100,1100,1500,1500,0.12,0,3,1,1
