kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error
sample,1779022153.2488158,0,0,0,1100,243833,500,0,-15,-14.938356164383562,,,,,,
sample,1779022153.2738187,0,0,0,1100,243833,500,1,-15,-14.938356164383562,,,,,,
sample,1779022153.2981,0,0,0,1100,243833,500,2,-13,-12.946575342465753,,,,,,
sample,1779022153.3231013,0,0,0,1100,243833,500,3,-13,-12.946575342465753,,,,,,
sample,1779022153.3480937,0,0,0,1100,243833,500,4,-13,-12.946575342465753,,,,,,
sample,1779022153.374109,0,0,0,1100,243833,500,5,-11,-10.954794520547944,,,,,,
sample,1779022153.3986259,0,0,0,1100,243833,500,6,-11,-10.954794520547944,,,,,,
sample,1779022153.4236262,0,0,0,1100,243833,500,7,-11,-10.954794520547944,,,,,,
sample,1779022153.4486377,0,0,0,1100,243833,500,8,-14,-13.942465753424656,,,,,,
sample,1779022153.4736426,0,0,0,1100,243833,500,9,-14,-13.942465753424656,,,,,,
sample,1779022153.4981682,0,0,0,1100,243833,500,10,-14,-13.942465753424656,,,,,,
sample,1779022153.5221872,0,0,0,1100,243833,500,11,-15,-14.938356164383562,,,,,,
sample,1779022153.5476737,0,0,0,1100,243833,500,12,-15,-14.938356164383562,,,,,,
sample,1779022153.572823,0,0,0,1100,243833,500,13,-15,-14.938356164383562,,,,,,
sample,1779022153.597522,0,0,0,1100,243833,500,14,-16,-15.934246575342465,,,,,,
sample,1779022153.622532,0,0,0,1100,243833,500,15,-16,-15.934246575342465,,,,,,
sample,1779022153.6475203,0,0,0,1100,243833,500,16,-16,-15.934246575342465,,,,,,
sample,1779022153.6726213,0,0,0,1100,243833,500,17,-14,-13.942465753424656,,,,,,
sample,1779022153.6972067,0,0,0,1100,243833,500,18,-14,-13.942465753424656,,,,,,
sample,1779022153.7222056,0,0,0,1100,243833,500,19,-14,-13.942465753424656,,,,,,
sample,1779022153.7462132,0,0,0,1100,243833,500,20,-16,-15.934246575342465,,,,,,
sample,1779022153.771207,0,0,0,1100,243833,500,21,-16,-15.934246575342465,,,,,,
sample,1779022153.7967143,0,0,0,1100,243833,500,22,-16,-15.934246575342465,,,,,,
sample,1779022153.8217132,0,0,0,1100,243833,500,23,-13,-12.946575342465753,,,,,,
sample,1779022153.8457146,0,0,0,1100,243833,500,24,-13,-12.946575342465753,,,,,,
sample,1779022153.8707252,0,0,0,1100,243833,500,25,-13,-12.946575342465753,,,,,,
sample,1779022153.8952549,0,0,0,1100,243833,500,26,-12,-11.95068493150685,,,,,,
sample,1779022153.920247,0,0,0,1100,243833,500,27,-12,-11.95068493150685,,,,,,
sample,1779022153.9453762,0,0,0,1100,243833,500,28,-12,-11.95068493150685,,,,,,
sample,1779022153.9712896,0,0,0,1100,243833,500,29,4,3.9835616438356163,,,,,,
sample,1779022153.995809,0,0,0,1100,243833,500,30,4,3.9835616438356163,,,,,,
sample,1779022154.0209646,0,0,0,1100,243833,500,31,4,3.9835616438356163,,,,,,
sample,1779022154.0458794,0,0,0,1100,243833,500,32,29,28.88082191780822,,,,,,
sample,1779022154.0710661,0,0,0,1100,243833,500,33,29,28.88082191780822,,,,,,
sample,1779022154.0966048,0,0,0,1100,243833,500,34,29,28.88082191780822,,,,,,
sample,1779022154.1216037,0,0,0,1100,243833,500,35,54,53.77808219178082,,,,,,
sample,1779022154.1466048,0,0,0,1100,243833,500,36,54,53.77808219178082,,,,,,
sample,1779022154.1712117,0,0,0,1100,243833,500,37,54,53.77808219178082,,,,,,
sample,1779022154.195754,0,0,0,1100,243833,500,38,86,85.64657534246575,,,,,,
sample,1779022154.2206302,0,0,0,1100,243833,500,39,86,85.64657534246575,,,,,,
sample,1779022154.2456284,0,0,0,1100,243833,500,40,86,85.64657534246575,,,,,,
sample,1779022154.2708962,0,0,0,1100,243833,500,41,122,121.49863013698629,,,,,,
sample,1779022154.2956815,0,0,0,1100,243833,500,42,122,121.49863013698629,,,,,,
sample,1779022154.319828,0,0,0,1100,243833,500,43,122,121.49863013698629,,,,,,
sample,1779022154.3456807,0,0,0,1100,243833,500,44,157,156.35479452054793,,,,,,
sample,1779022154.3696887,0,0,0,1100,243833,500,45,157,156.35479452054793,,,,,,
sample,1779022154.3952324,0,0,0,1100,243833,500,46,157,156.35479452054793,,,,,,
sample,1779022154.4210432,0,0,0,1100,243833,500,47,204,203.16164383561642,,,,,,
sample,1779022154.4461486,0,0,0,1100,243833,500,48,204,203.16164383561642,,,,,,
sample,1779022154.4711974,0,0,0,1100,243833,500,49,204,203.16164383561642,,,,,,
summary,1779022154.4711974,0,0,0,1100,243833,500,,,,50,31.191,-15.934,203.162,68.064,
sample,1779022154.496895,1,0,5,1142,244338,500,0,262,260.92328767123286,,,,,,
sample,1779022154.5220363,1,0,5,1142,244338,500,1,262,260.92328767123286,,,,,,
sample,1779022154.5469983,1,0,5,1142,244338,500,2,262,260.92328767123286,,,,,,
sample,1779022154.5718832,1,0,5,1142,244338,500,3,320,318.6849315068493,,,,,,
sample,1779022154.5964148,1,0,5,1142,244338,500,4,320,318.6849315068493,,,,,,
sample,1779022154.621407,1,0,5,1142,244338,500,5,320,318.6849315068493,,,,,,
sample,1779022154.646532,1,0,5,1142,244338,500,6,376,374.4547945205479,,,,,,
sample,1779022154.6715293,1,0,5,1142,244338,500,7,376,374.4547945205479,,,,,,
sample,1779022154.6971867,1,0,5,1142,244338,500,8,376,374.4547945205479,,,,,,
sample,1779022154.7221875,1,0,5,1142,244338,500,9,419,417.2780821917808,,,,,,
