kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error
sample,1779022208.7445858,0,0,0,1100,299328,500,0,-31,-30.872602739726027,,,,,,
sample,1779022208.7691138,0,0,0,1100,299328,500,1,-31,-30.872602739726027,,,,,,
sample,1779022208.7941134,0,0,0,1100,299328,500,2,-35,-34.85616438356164,,,,,,
sample,1779022208.8192422,0,0,0,1100,299328,500,3,-35,-34.85616438356164,,,,,,
sample,1779022208.8442976,0,0,0,1100,299328,500,4,-35,-34.85616438356164,,,,,,
sample,1779022208.86833,0,0,0,1100,299328,500,5,-36,-35.85205479452055,,,,,,
sample,1779022208.893337,0,0,0,1100,299328,500,6,-36,-35.85205479452055,,,,,,
sample,1779022208.9183378,0,0,0,1100,299328,500,7,-36,-35.85205479452055,,,,,,
sample,1779022208.9433293,0,0,0,1100,299328,500,8,-36,-35.85205479452055,,,,,,
sample,1779022208.9678986,0,0,0,1100,299328,500,9,-34,-33.86027397260274,,,,,,
sample,1779022208.9928906,0,0,0,1100,299328,500,10,-34,-33.86027397260274,,,,,,
sample,1779022209.0180142,0,0,0,1100,299328,500,11,-34,-33.86027397260274,,,,,,
sample,1779022209.0430207,0,0,0,1100,299328,500,12,-32,-31.86849315068493,,,,,,
sample,1779022209.0677967,0,0,0,1100,299328,500,13,-32,-31.86849315068493,,,,,,
sample,1779022209.092789,0,0,0,1100,299328,500,14,-32,-31.86849315068493,,,,,,
sample,1779022209.1186664,0,0,0,1100,299328,500,15,-31,-30.872602739726027,,,,,,
sample,1779022209.1426735,0,0,0,1100,299328,500,16,-31,-30.872602739726027,,,,,,
sample,1779022209.1679795,0,0,0,1100,299328,500,17,-31,-30.872602739726027,,,,,,
sample,1779022209.192972,0,0,0,1100,299328,500,18,-29,-28.88082191780822,,,,,,
sample,1779022209.2179728,0,0,0,1100,299328,500,19,-29,-28.88082191780822,,,,,,
summary,1779022209.2179728,0,0,0,1100,299328,500,,,,20,-32.864,-35.852,-28.881,2.293,
sample,1779022209.2489727,1,0,5,1142,299833,500,0,-26,-25.893150684931506,,,,,,
sample,1779022209.2735136,1,0,5,1142,299833,500,1,-26,-25.893150684931506,,,,,,
sample,1779022209.298192,1,0,5,1142,299833,500,2,-26,-25.893150684931506,,,,,,
sample,1779022209.3225472,1,0,5,1142,299833,500,3,-29,-28.88082191780822,,,,,,
sample,1779022209.347609,1,0,5,1142,299833,500,4,-29,-28.88082191780822,,,,,,
sample,1779022209.3729703,1,0,5,1142,299833,500,5,-29,-28.88082191780822,,,,,,
sample,1779022209.397168,1,0,5,1142,299833,500,6,-29,-28.88082191780822,,,,,,
sample,1779022209.422092,1,0,5,1142,299833,500,7,-29,-28.88082191780822,,,,,,
sample,1779022209.4469714,1,0,5,1142,299833,500,8,-29,-28.88082191780822,,,,,,
sample,1779022209.4728441,1,0,5,1142,299833,500,9,-11,-10.954794520547944,,,,,,
sample,1779022209.4968374,1,0,5,1142,299833,500,10,-11,-10.954794520547944,,,,,,
sample,1779022209.521839,1,0,5,1142,299833,500,11,-11,-10.954794520547944,,,,,,
sample,1779022209.5473254,1,0,5,1142,299833,500,12,-11,-10.954794520547944,,,,,,
