seq,pct,pulse_us,count,steady_mean_g,steady_std_g,steady_min_g,steady_max_g,full_mean_g,full_std_g,first_mean_g,drift_g
0,0.000,1100,100,-0.048,0.120,-0.200,0.200,0.092,0.273,0.114,-0.162
1,5.000,1142,100,19.510,0.226,19.300,20.000,16.432,6.565,5.781,13.729
2,10.000,1184,100,51.971,0.237,51.800,52.600,48.055,9.867,33.833,18.138
3,15.000,1226,100,98.257,0.268,97.700,98.600,91.575,14.201,71.352,26.905
4,20.000,1268,100,154.719,0.271,154.300,155.100,146.310,17.254,121.538,33.181
5,25.000,1310,100,218.567,0.437,218.000,219.500,210.141,18.417,184.324,34.243
6,30.000,1352,100,289.319,0.331,288.800,289.900,279.724,21.491,249.800,39.519
7,35.000,1394,100,378.271,0.581,377.100,378.700,365.962,26.826,328.724,49.548
8,40.000,1436,100,457.081,0.612,456.200,457.800,447.640,22.059,419.305,37.776
9,45.000,1478,100,545.305,0.158,545.100,545.600,535.557,25.857,502.690,42.614
10,50.000,1520,100,647.957,0.688,647.100,648.800,633.669,29.829,594.467,53.490
11,55.000,1562,100,732.914,0.326,732.600,733.600,723.404,23.729,693.795,39.119
12,60.000,1604,100,833.371,0.632,832.700,835.100,821.802,31.398,780.576,52.795
13,65.000,1646,100,919.348,0.712,918.800,921.200,911.526,26.958,877.314,42.033
14,70.000,1688,100,1003.343,0.552,1002.200,1003.700,993.677,25.452,961.438,41.905
15,75.000,1730,100,1079.143,0.537,1078.500,1080.500,1072.654,24.568,1042.010,37.133
16,80.000,1772,100,1156.662,1.957,1154.600,1160.100,1150.301,24.632,1120.757,35.905
17,85.000,1814,100,1226.329,2.140,1223.200,1229.900,1221.828,22.891,1195.067,31.262
18,90.000,1856,100,1297.967,1.284,1295.400,1299.800,1291.487,22.004,1264.943,33.024
19,95.000,1898,100,1349.614,2.681,1345.600,1353.100,1346.563,19.258,1324.833,24.781
20,100.000,1940,100,1363.410,1.528,1361.100,1365.400,1367.670,8.923,1360.800,2.610
