seq,pct,pulse_us,count,steady_mean_g,steady_std_g,steady_min_g,steady_max_g,full_mean_g,full_std_g,first_mean_g,drift_g
0,0.000,1100,20,-3.150,0.163,-3.400,-2.900,-3.300,0.230,-3.475,0.325
1,5.000,1142,20,1.863,2.854,-1.100,8.000,-0.225,3.162,-2.788,4.650
2,10.000,1184,20,33.425,5.685,26.600,43.000,24.390,10.576,15.275,18.150
3,15.000,1226,20,70.675,8.220,55.900,80.500,59.305,12.737,48.175,22.500
4,20.000,1268,20,121.575,10.233,106.400,136.300,107.065,16.812,91.738,29.837
5,25.000,1310,20,178.037,10.523,165.400,196.100,162.465,18.318,146.537,31.500
6,30.000,1352,20,247.025,13.283,221.600,262.400,226.220,22.840,205.812,41.213
7,35.000,1394,20,316.838,16.197,293.900,341.200,295.960,24.587,273.400,43.438
8,40.000,1436,20,402.713,14.237,385.500,426.700,379.855,26.566,356.475,46.238
9,45.000,1478,20,489.463,16.994,457.300,509.000,463.030,29.017,436.825,52.637
10,50.000,1520,20,575.925,20.424,546.500,606.400,549.220,31.275,520.375,55.550
11,55.000,1562,20,673.675,17.401,653.200,705.400,650.185,28.934,623.588,50.087
12,60.000,1604,20,777.475,18.746,754.300,807.900,748.265,33.701,717.925,59.550
13,65.000,1646,20,870.825,17.079,838.200,890.400,844.335,29.000,818.175,52.650
14,70.000,1688,20,955.525,17.290,929.900,980.400,930.570,28.730,903.800,51.725
15,75.000,1730,20,1046.763,16.218,1026.700,1073.000,1020.235,30.406,992.775,53.987
16,80.000,1772,20,1134.875,17.185,1102.400,1154.900,1108.250,29.190,1081.663,53.212
17,85.000,1814,20,1217.062,17.684,1191.400,1243.100,1192.655,28.325,1166.237,50.825
18,90.000,1856,20,1303.075,15.058,1285.000,1329.000,1279.600,27.277,1255.237,47.838
19,95.000,1898,20,1379.288,13.619,1353.400,1395.000,1357.935,23.376,1336.700,42.588
20,100.000,1940,20,1418.675,6.507,1408.900,1427.700,1410.120,9.880,1401.013,17.663
