kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g
sample,1779009173.2049868,0,1,0,1100,138112,1000,0,6,5.975342465753425,,,,,
sample,1779009173.2299874,0,1,0,1100,138112,1000,1,6,5.975342465753425,,,,,
sample,1779009173.2540638,0,1,0,1100,138112,1000,2,6,5.975342465753425,,,,,
sample,1779009173.2790575,0,1,0,1100,138112,1000,3,4,3.9835616438356163,,,,,
sample,1779009173.30416,0,1,0,1100,138112,1000,4,4,3.9835616438356163,,,,,
sample,1779009173.3291607,0,1,0,1100,138112,1000,5,4,3.9835616438356163,,,,,
sample,1779009173.3541722,0,1,0,1100,138112,1000,6,1,0.9958904109589041,,,,,
sample,1779009173.379174,0,1,0,1100,138112,1000,7,1,0.9958904109589041,,,,,
sample,1779009173.403664,0,1,0,1100,138112,1000,8,1,0.9958904109589041,,,,,
sample,1779009173.4287348,0,1,0,1100,138112,1000,9,0,0.0,,,,,
summary,1779009173.4287348,0,1,0,1100,138112,1000,,,,10,3.286,0.000,5.975,2.229
sample,1779009174.2096875,1,1,5,1142,139117,1000,0,-1,-0.9958904109589041,,,,,
sample,1779009174.234694,1,1,5,1142,139117,1000,1,-1,-0.9958904109589041,,,,,
sample,1779009174.2596774,1,1,5,1142,139117,1000,2,-2,-1.9917808219178081,,,,,
sample,1779009174.2846928,1,1,5,1142,139117,1000,3,-2,-1.9917808219178081,,,,,
sample,1779009174.309678,1,1,5,1142,139117,1000,4,-2,-1.9917808219178081,,,,,
sample,1779009174.3336794,1,1,5,1142,139117,1000,5,1,0.9958904109589041,,,,,
sample,1779009174.3586876,1,1,5,1142,139117,1000,6,1,0.9958904109589041,,,,,
sample,1779009174.3836794,1,1,5,1142,139117,1000,7,1,0.9958904109589041,,,,,
sample,1779009174.4086778,1,1,5,1142,139117,1000,8,13,12.946575342465753,,,,,
sample,1779009174.4336824,1,1,5,1142,139117,1000,9,13,12.946575342465753,,,,,
summary,1779009174.4336824,1,1,5,1142,139117,1000,,,,10,2.091,-1.992,12.947,5.553
sample,1779009175.2160969,2,1,10,1184,140123,1000,0,119,118.51095890410959,,,,,
sample,1779009175.2411017,2,1,10,1184,140123,1000,1,119,118.51095890410959,,,,,
sample,1779009175.2658072,2,1,10,1184,140123,1000,2,119,118.51095890410959,,,,,
sample,1779009175.2908068,2,1,10,1184,140123,1000,3,119,118.51095890410959,,,,,
sample,1779009175.3158221,2,1,10,1184,140123,1000,4,130,129.46575342465752,,,,,
sample,1779009175.3403382,2,1,10,1184,140123,1000,5,130,129.46575342465752,,,,,
sample,1779009175.3653383,2,1,10,1184,140123,1000,6,130,129.46575342465752,,,,,
sample,1779009175.3898478,2,1,10,1184,140123,1000,7,154,153.36712328767123,,,,,
sample,1779009175.4153588,2,1,10,1184,140123,1000,8,154,153.36712328767123,,,,,
sample,1779009175.4393601,2,1,10,1184,140123,1000,9,154,153.36712328767123,,,,,
summary,1779009175.440374,2,1,10,1184,140123,1000,,,,10,132.254,118.511,153.367,14.547
sample,1779009176.2221644,3,1,15,1226,141129,1000,0,299,297.7712328767123,,,,,
sample,1779009176.2471635,3,1,15,1226,141129,1000,1,299,297.7712328767123,,,,,
sample,1779009176.2721648,3,1,15,1226,141129,1000,2,299,297.7712328767123,,,,,
sample,1779009176.2971694,3,1,15,1226,141129,1000,3,309,307.7301369863014,,,,,
sample,1779009176.322238,3,1,15,1226,141129,1000,4,309,307.7301369863014,,,,,
sample,1779009176.3472316,3,1,15,1226,141129,1000,5,309,307.7301369863014,,,,,
sample,1779009176.3725467,3,1,15,1226,141129,1000,6,332,330.6356164383561,,,,,
sample,1779009176.3972561,3,1,15,1226,141129,1000,7,332,330.6356164383561,,,,,
sample,1779009176.4222581,3,1,15,1226,141129,1000,8,332,330.6356164383561,,,,,
sample,1779009176.4472697,3,1,15,1226,141129,1000,9,363,361.5082191780822,,,,,
summary,1779009176.4472697,3,1,15,1226,141129,1000,,,,10,316.992,297.771,361.508,19.763
sample,1779009177.2287931,4,1,20,1268,142135,1000,0,545,542.7602739726027,,,,,
sample,1779009177.2537954,4,1,20,1268,142135,1000,1,545,542.7602739726027,,,,,
sample,1779009177.2787933,4,1,20,1268,142135,1000,2,546,543.7561643835617,,,,,
sample,1779009177.3037949,4,1,20,1268,142135,1000,3,546,543.7561643835617,,,,,
sample,1779009177.3287933,4,1,20,1268,142135,1000,4,546,543.7561643835617,,,,,
sample,1779009177.3537936,4,1,20,1268,142135,1000,5,568,565.6657534246575,,,,,
sample,1779009177.3788009,4,1,20,1268,142135,1000,6,568,565.6657534246575,,,,,
