kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error
sample,1784798331.6433222,0,1,0,1100,19391,2000,0,0,0.0,,,,,,
sample,1784798331.6748178,0,1,0,1100,19391,2000,1,0,0.0,,,,,,
sample,1784798331.7068167,0,1,0,1100,19391,2000,2,0,0.0,,,,,,
sample,1784798331.7393992,0,1,0,1100,19391,2000,3,0,0.0,,,,,,
sample,1784798331.7731504,0,1,0,1100,19391,2000,4,0,0.0,,,,,,
sample,1784798331.8033326,0,1,0,1100,19391,2000,5,-1,-0.9958904109589041,,,,,,
sample,1784798331.8352396,0,1,0,1100,19391,2000,6,-1,-0.9958904109589041,,,,,,
sample,1784798331.8672397,0,1,0,1100,19391,2000,7,-1,-0.9958904109589041,,,,,,
sample,1784798331.8992383,0,1,0,1100,19391,2000,8,0,0.0,,,,,,
sample,1784798331.931242,0,1,0,1100,19391,2000,9,0,0.0,,,,,,
sample,1784798331.963243,0,1,0,1100,19391,2000,10,0,0.0,,,,,,
sample,1784798331.995239,0,1,0,1100,19391,2000,11,0,0.0,,,,,,
sample,1784798332.0272412,0,1,0,1100,19391,2000,12,0,0.0,,,,,,
sample,1784798332.059237,0,1,0,1100,19391,2000,13,0,0.0,,,,,,
sample,1784798332.0912378,0,1,0,1100,19391,2000,14,0,0.0,,,,,,
sample,1784798332.1232378,0,1,0,1100,19391,2000,15,-2,-1.9917808219178081,,,,,,
sample,1784798332.1548243,0,1,0,1100,19391,2000,16,-2,-1.9917808219178081,,,,,,
sample,1784798332.1868057,0,1,0,1100,19391,2000,17,-3,-2.9876712328767123,,,,,,
sample,1784798332.2195175,0,1,0,1100,19391,2000,18,-3,-2.9876712328767123,,,,,,
sample,1784798332.2516043,0,1,0,1100,19391,2000,19,-5,-4.97945205479452,,,,,,
summary,1784798332.2516043,0,1,0,1100,19391,2000,,,,20,-0.896,-4.979,0.000,1.369,
sample,1784798333.627488,1,1,5,1142,21391,2000,0,9,8.963013698630137,,,,,,
sample,1784798333.6588933,1,1,5,1142,21391,2000,1,9,8.963013698630137,,,,,,
sample,1784798333.690918,1,1,5,1142,21391,2000,2,9,8.963013698630137,,,,,,
sample,1784798333.7228916,1,1,5,1142,21391,2000,3,9,8.963013698630137,,,,,,
sample,1784798333.7546322,1,1,5,1142,21391,2000,4,9,8.963013698630137,,,,,,
sample,1784798333.7871609,1,1,5,1142,21391,2000,5,11,10.954794520547944,,,,,,
sample,1784798333.8187864,1,1,5,1142,21391,2000,6,11,10.954794520547944,,,,,,
sample,1784798333.8507934,1,1,5,1142,21391,2000,7,27,26.88904109589041,,,,,,
sample,1784798333.8827925,1,1,5,1142,21391,2000,8,27,26.88904109589041,,,,,,
sample,1784798333.914787,1,1,5,1142,21391,2000,9,50,49.794520547945204,,,,,,
sample,1784798333.9467876,1,1,5,1142,21391,2000,10,50,49.794520547945204,,,,,,
sample,1784798333.9787881,1,1,5,1142,21391,2000,11,50,49.794520547945204,,,,,,
sample,1784798334.0108182,1,1,5,1142,21391,2000,12,69,68.71643835616437,,,,,,
sample,1784798334.0427902,1,1,5,1142,21391,2000,13,69,68.71643835616437,,,,,,
sample,1784798334.075389,1,1,5,1142,21391,2000,14,91,90.62602739726027,,,,,,
sample,1784798334.1073916,1,1,5,1142,21391,2000,15,91,90.62602739726027,,,,,,
sample,1784798334.1393898,1,1,5,1142,21391,2000,16,111,110.54383561643836,,,,,,
sample,1784798334.1712053,1,1,5,1142,21391,2000,17,111,110.54383561643836,,,,,,
sample,1784798334.2032125,1,1,5,1142,21391,2000,18,111,110.54383561643836,,,,,,
sample,1784798334.2344174,1,1,5,1142,21391,2000,19,119,118.51095890410959,,,,,,
summary,1784798334.2354155,1,1,5,1142,21391,2000,,,,20,51.936,8.963,118.511,40.097,
sample,1784798335.6268363,2,1,10,1184,23391,2000,0,111,110.54383561643836,,,,,,
sample,1784798335.6585014,2,1,10,1184,23391,2000,1,105,104.56849315068493,,,,,,
sample,1784798335.6905003,2,1,10,1184,23391,2000,2,105,104.56849315068493,,,,,,
sample,1784798335.7228305,2,1,10,1184,23391,2000,3,119,118.51095890410959,,,,,,
sample,1784798335.755118,2,1,10,1184,23391,2000,4,119,118.51095890410959,,,,,,
sample,1784798335.7867322,2,1,10,1184,23391,2000,5,119,118.51095890410959,,,,,,
sample,1784798335.81879,2,1,10,1184,23391,2000,6,147,146.39589041095888,,,,,,
sample,1784798335.850984,2,1,10,1184,23391,2000,7,147,146.39589041095888,,,,,,
sample,1784798335.882972,2,1,10,1184,23391,2000,8,179,178.26438356164383,,,,,,
sample,1784798335.9147854,2,1,10,1184,23391,2000,9,179,178.26438356164383,,,,,,
sample,1784798335.9468281,2,1,10,1184,23391,2000,10,214,213.12054794520546,,,,,,
sample,1784798335.9788404,2,1,10,1184,23391,2000,11,214,213.12054794520546,,,,,,
sample,1784798336.011472,2,1,10,1184,23391,2000,12,214,213.12054794520546,,,,,,
sample,1784798336.042472,2,1,10,1184,23391,2000,13,249,247.97671232876712,,,,,,
sample,1784798336.0744708,2,1,10,1184,23391,2000,14,249,247.97671232876712,,,,,,
sample,1784798336.106476,2,1,10,1184,23391,2000,15,266,264.9068493150685,,,,,,
sample,1784798336.1389604,2,1,10,1184,23391,2000,16,266,264.9068493150685,,,,,,
