kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error,baseline_g,grams_original,mean_g_original,min_g_original,max_g_original,repair_note
sample,1784798331.6433222,0,1,0,1100,19391,2000,0,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.6748178,0,1,0,1100,19391,2000,1,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.7068167,0,1,0,1100,19391,2000,2,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.7393992,0,1,0,1100,19391,2000,3,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.7731504,0,1,0,1100,19391,2000,4,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.8033326,0,1,0,1100,19391,2000,5,-1,-0.099890,,,,,,,-0.896000,-0.9958904109589041,,,,subtract_motor_0pct_baseline
sample,1784798331.8352396,0,1,0,1100,19391,2000,6,-1,-0.099890,,,,,,,-0.896000,-0.9958904109589041,,,,subtract_motor_0pct_baseline
sample,1784798331.8672397,0,1,0,1100,19391,2000,7,-1,-0.099890,,,,,,,-0.896000,-0.9958904109589041,,,,subtract_motor_0pct_baseline
sample,1784798331.8992383,0,1,0,1100,19391,2000,8,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.931242,0,1,0,1100,19391,2000,9,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.963243,0,1,0,1100,19391,2000,10,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798331.995239,0,1,0,1100,19391,2000,11,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798332.0272412,0,1,0,1100,19391,2000,12,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798332.059237,0,1,0,1100,19391,2000,13,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798332.0912378,0,1,0,1100,19391,2000,14,0,0.896000,,,,,,,-0.896000,0.0,,,,subtract_motor_0pct_baseline
sample,1784798332.1232378,0,1,0,1100,19391,2000,15,-2,-1.095781,,,,,,,-0.896000,-1.9917808219178081,,,,subtract_motor_0pct_baseline
sample,1784798332.1548243,0,1,0,1100,19391,2000,16,-2,-1.095781,,,,,,,-0.896000,-1.9917808219178081,,,,subtract_motor_0pct_baseline
sample,1784798332.1868057,0,1,0,1100,19391,2000,17,-3,-2.091671,,,,,,,-0.896000,-2.9876712328767123,,,,subtract_motor_0pct_baseline
sample,1784798332.2195175,0,1,0,1100,19391,2000,18,-3,-2.091671,,,,,,,-0.896000,-2.9876712328767123,,,,subtract_motor_0pct_baseline
sample,1784798332.2516043,0,1,0,1100,19391,2000,19,-5,-4.083452,,,,,,,-0.896000,-4.97945205479452,,,,subtract_motor_0pct_baseline
summary,1784798332.2516043,0,1,0,1100,19391,2000,,,,20,0.000000,-4.083000,0.896000,1.369,,-0.896000,,-0.896,-4.979,0.000,subtract_motor_0pct_baseline
sample,1784798333.627488,1,1,5,1142,21391,2000,0,9,9.859014,,,,,,,-0.896000,8.963013698630137,,,,subtract_motor_0pct_baseline
sample,1784798333.6588933,1,1,5,1142,21391,2000,1,9,9.859014,,,,,,,-0.896000,8.963013698630137,,,,subtract_motor_0pct_baseline
sample,1784798333.690918,1,1,5,1142,21391,2000,2,9,9.859014,,,,,,,-0.896000,8.963013698630137,,,,subtract_motor_0pct_baseline
