from_pct,to_pct,from_pulse_us,to_pulse_us,tau_s,delay_s,r2,used_points
0.000,5.000,1100,1142,0.602352,0.000000,0.956976,7
5.000,10.000,1142,1184,0.215700,0.000000,0.895286,13
10.000,15.000,1184,1226,0.228235,0.000000,0.865533,14
15.000,20.000,1226,1268,0.278877,0.000000,0.881876,12
20.000,25.000,1268,1310,0.236465,0.000000,0.882275,13
25.000,30.000,1310,1352,0.200967,0.000000,0.861299,14
30.000,35.000,1352,1394,0.181906,0.000000,0.803337,15
35.000,40.000,1394,1436,0.220451,0.000000,0.876516,13
40.000,45.000,1436,1478,0.206792,0.000000,0.856284,14
45.000,50.000,1478,1520,0.179022,0.000000,0.790353,15
50.000,55.000,1520,1562,0.224700,0.000000,0.868539,13
55.000,60.000,1562,1604,0.236792,0.000000,0.857017,13
60.000,65.000,1604,1646,0.207630,0.000000,0.853124,14
65.000,70.000,1646,1688,0.284661,0.000000,0.830288,12
70.000,75.000,1688,1730,0.227178,0.000000,0.852497,13
75.000,80.000,1730,1772,0.206415,0.000000,0.842563,14
80.000,85.000,1772,1814,0.172657,0.000000,0.803594,15
85.000,90.000,1814,1856,0.230727,0.000000,0.850435,13
90.000,95.000,1856,1898,0.205013,0.000000,0.850038,14
95.000,100.000,1898,1940,0.350127,0.000000,0.797341,12
