kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g
sample,1779009401.2759106,0,2,0,1100,11033,1000,0,-80,-79.67123287671232,,,,,
sample,1779009401.3008952,0,2,0,1100,11033,1000,1,-81,-80.66712328767123,,,,,
sample,1779009401.3258893,0,2,0,1100,11033,1000,2,-81,-80.66712328767123,,,,,
sample,1779009401.3508892,0,2,0,1100,11033,1000,3,-81,-80.66712328767123,,,,,
sample,1779009401.3748877,0,2,0,1100,11033,1000,4,-86,-85.64657534246575,,,,,
sample,1779009401.4006348,0,2,0,1100,11033,1000,5,-86,-85.64657534246575,,,,,
sample,1779009401.4256344,0,2,0,1100,11033,1000,6,-86,-85.64657534246575,,,,,
sample,1779009401.4506419,0,2,0,1100,11033,1000,7,-86,-85.64657534246575,,,,,
sample,1779009401.4756525,0,2,0,1100,11033,1000,8,-86,-85.64657534246575,,,,,
sample,1779009401.500112,0,2,0,1100,11033,1000,9,-86,-85.64657534246575,,,,,
summary,1779009401.500112,0,2,0,1100,11033,1000,,,,10,-83.555,-85.647,-79.671,2.576
sample,1779009402.2821476,1,2,5,1142,12040,1000,0,-77,-76.68356164383562,,,,,
sample,1779009402.306938,1,2,5,1142,12040,1000,1,-77,-76.68356164383562,,,,,
sample,1779009402.3319306,1,2,5,1142,12040,1000,2,-77,-76.68356164383562,,,,,
sample,1779009402.3569374,1,2,5,1142,12040,1000,3,-75,-74.6917808219178,,,,,
sample,1779009402.381931,1,2,5,1142,12040,1000,4,-75,-74.6917808219178,,,,,
sample,1779009402.40593,1,2,5,1142,12040,1000,5,-75,-74.6917808219178,,,,,
sample,1779009402.4309413,1,2,5,1142,12040,1000,6,-76,-75.68767123287671,,,,,
sample,1779009402.4559386,1,2,5,1142,12040,1000,7,-76,-75.68767123287671,,,,,
sample,1779009402.4809306,1,2,5,1142,12040,1000,8,-76,-75.68767123287671,,,,,
sample,1779009402.505931,1,2,5,1142,12040,1000,9,-72,-71.7041095890411,,,,,
summary,1779009402.505931,1,2,5,1142,12040,1000,,,,10,-75.289,-76.684,-71.704,1.422
sample,1779009403.2890272,2,2,10,1184,13046,1000,0,-5,-4.97945205479452,,,,,
sample,1779009403.3128872,2,2,10,1184,13046,1000,1,-5,-4.97945205479452,,,,,
sample,1779009403.3378868,2,2,10,1184,13046,1000,2,-11,-10.954794520547944,,,,,
sample,1779009403.3631818,2,2,10,1184,13046,1000,3,-11,-10.954794520547944,,,,,
sample,1779009403.3877861,2,2,10,1184,13046,1000,4,-11,-10.954794520547944,,,,,
sample,1779009403.41271,2,2,10,1184,13046,1000,5,0,0.0,,,,,
sample,1779009403.4377825,2,2,10,1184,13046,1000,6,0,0.0,,,,,
sample,1779009403.461777,2,2,10,1184,13046,1000,7,0,0.0,,,,,
sample,1779009403.4867833,2,2,10,1184,13046,1000,8,20,19.91780821917808,,,,,
sample,1779009403.511775,2,2,10,1184,13046,1000,9,20,19.91780821917808,,,,,
summary,1779009403.511775,2,2,10,1184,13046,1000,,,,10,-0.299,-10.955,19.918,10.964
sample,1779009404.2944174,3,2,15,1226,14052,1000,0,176,175.2767123287671,,,,,
sample,1779009404.3193123,3,2,15,1226,14052,1000,1,153,152.37123287671233,,,,,
sample,1779009404.344043,3,2,15,1226,14052,1000,2,153,152.37123287671233,,,,,
sample,1779009404.3710358,3,2,15,1226,14052,1000,3,153,152.37123287671233,,,,,
sample,1779009404.396035,3,2,15,1226,14052,1000,4,154,153.36712328767123,,,,,
sample,1779009404.420043,3,2,15,1226,14052,1000,5,154,153.36712328767123,,,,,
sample,1779009404.445035,3,2,15,1226,14052,1000,6,154,153.36712328767123,,,,,
sample,1779009404.470043,3,2,15,1226,14052,1000,7,174,173.28493150684932,,,,,
sample,1779009404.4941351,3,2,15,1226,14052,1000,8,174,173.28493150684932,,,,,
sample,1779009404.5191357,3,2,15,1226,14052,1000,9,174,173.28493150684932,,,,,
summary,1779009404.5191357,3,2,15,1226,14052,1000,,,,10,161.235,152.371,175.277,10.267
sample,1779009405.3010135,4,2,20,1268,15058,1000,0,395,393.3767123287671,,,,,
sample,1779009405.3260696,4,2,20,1268,15058,1000,1,395,393.3767123287671,,,,,
sample,1779009405.3510687,4,2,20,1268,15058,1000,2,395,393.3767123287671,,,,,
sample,1779009405.375605,4,2,20,1268,15058,1000,3,404,402.33972602739726,,,,,
sample,1779009405.401113,4,2,20,1268,15058,1000,4,404,402.33972602739726,,,,,
sample,1779009405.4264765,4,2,20,1268,15058,1000,5,404,402.33972602739726,,,,,
sample,1779009405.451006,4,2,20,1268,15058,1000,6,438,436.2,,,,,
sample,1779009405.4760163,4,2,20,1268,15058,1000,7,438,436.2,,,,,
sample,1779009405.5010073,4,2,20,1268,15058,1000,8,438,436.2,,,,,
sample,1779009405.5260062,4,2,20,1268,15058,1000,9,484,482.01095890410954,,,,,
summary,1779009405.5260062,4,2,20,1268,15058,1000,,,,10,417.776,393.377,482.011,27.650
sample,1779009406.3060217,5,2,25,1310,16064,1000,0,700,697.1232876712329,,,,,
sample,1779009406.3308265,5,2,25,1310,16064,1000,1,700,697.1232876712329,,,,,
sample,1779009406.355834,5,2,25,1310,16064,1000,2,705,702.1027397260274,,,,,
sample,1779009406.3811123,5,2,25,1310,16064,1000,3,705,702.1027397260274,,,,,
sample,1779009406.4058485,5,2,25,1310,16064,1000,4,705,702.1027397260274,,,,,
sample,1779009406.4308405,5,2,25,1310,16064,1000,5,745,741.9383561643835,,,,,
sample,1779009406.4558415,5,2,25,1310,16064,1000,6,745,741.9383561643835,,,,,
sample,1779009406.4808404,5,2,25,1310,16064,1000,7,745,741.9383561643835,,,,,
sample,1779009406.5058417,5,2,25,1310,16064,1000,8,799,795.7164383561643,,,,,
sample,1779009406.5308404,5,2,25,1310,16064,1000,9,799,795.7164383561643,,,,,
summary,1779009406.5308404,5,2,25,1310,16064,1000,,,,10,731.780,697.123,795.716,36.783
sample,1779009407.3127034,6,2,30,1352,17070,1000,0,1033,1028.7547945205479,,,,,
sample,1779009407.3373044,6,2,30,1352,17070,1000,1,1036,1031.7424657534245,,,,,
sample,1779009407.3623035,6,2,30,1352,17070,1000,2,1036,1031.7424657534245,,,,,
sample,1779009407.388312,6,2,30,1352,17070,1000,3,1036,1031.7424657534245,,,,,
sample,1779009407.4133034,6,2,30,1352,17070,1000,4,1072,1067.5945205479452,,,,,
sample,1779009407.438304,6,2,30,1352,17070,1000,5,1072,1067.5945205479452,,,,,
sample,1779009407.4633033,6,2,30,1352,17070,1000,6,1072,1067.5945205479452,,,,,
sample,1779009407.487961,6,2,30,1352,17070,1000,7,1132,1127.3479452054794,,,,,
sample,1779009407.5138755,6,2,30,1352,17070,1000,8,1132,1127.3479452054794,,,,,
sample,1779009407.5388737,6,2,30,1352,17070,1000,9,1132,1127.3479452054794,,,,,
summary,1779009407.5388737,6,2,30,1352,17070,1000,,,,10,1070.881,1028.755,1127.348,39.960
sample,1779009408.318774,7,2,35,1394,18076,1000,0,1396,1390.2630136986302,,,,,
sample,1779009408.3426125,7,2,35,1394,18076,1000,1,1396,1390.2630136986302,,,,,
sample,1779009408.3686128,7,2,35,1394,18076,1000,2,1396,1390.2630136986302,,,,,
sample,1779009408.393615,7,2,35,1394,18076,1000,3,1396,1390.2630136986302,,,,,
sample,1779009408.4177856,7,2,35,1394,18076,1000,4,1419,1413.168493150685,,,,,
sample,1779009408.4427857,7,2,35,1394,18076,1000,5,1419,1413.168493150685,,,,,
sample,1779009408.4677846,7,2,35,1394,18076,1000,6,1419,1413.168493150685,,,,,
sample,1779009408.4927855,7,2,35,1394,18076,1000,7,1484,1477.9013698630135,,,,,
sample,1779009408.5177846,7,2,35,1394,18076,1000,8,1484,1477.9013698630135,,,,,
sample,1779009408.5428932,7,2,35,1394,18076,1000,9,1484,1477.9013698630135,,,,,
summary,1779009408.5428932,7,2,35,1394,18076,1000,,,,10,1423.426,1390.263,1477.901,36.902
sample,1779009409.3249156,8,2,40,1436,19082,1000,0,1871,1863.3109589041096,,,,,
sample,1779009409.3497503,8,2,40,1436,19082,1000,1,1871,1863.3109589041096,,,,,
sample,1779009409.3748236,8,2,40,1436,19082,1000,2,1871,1863.3109589041096,,,,,
sample,1779009409.3997538,8,2,40,1436,19082,1000,3,1869,1861.3191780821917,,,,,
sample,1779009409.4241989,8,2,40,1436,19082,1000,4,1869,1861.3191780821917,,,,,
sample,1779009409.4492,8,2,40,1436,19082,1000,5,1869,1861.3191780821917,,,,,
sample,1779009409.4741924,8,2,40,1436,19082,1000,6,1945,1937.0068493150684,,,,,
sample,1779009409.4991972,8,2,40,1436,19082,1000,7,1945,1937.0068493150684,,,,,
sample,1779009409.524199,8,2,40,1436,19082,1000,8,1945,1937.0068493150684,,,,,
sample,1779009409.5481927,8,2,40,1436,19082,1000,9,2035,2026.6369863013697,,,,,
summary,1779009409.5481927,8,2,40,1436,19082,1000,,,,10,1901.155,1861.319,2026.637,53.534
sample,1779009410.3302083,9,2,45,1478,20088,1000,0,2305,2295.527397260274,,,,,
sample,1779009410.355076,9,2,45,1478,20088,1000,1,2305,2295.527397260274,,,,,
sample,1779009410.3800774,9,2,45,1478,20088,1000,2,2314,2304.490410958904,,,,,
sample,1779009410.4050772,9,2,45,1478,20088,1000,3,2314,2304.490410958904,,,,,
sample,1779009410.4300706,9,2,45,1478,20088,1000,4,2314,2304.490410958904,,,,,
sample,1779009410.4550688,9,2,45,1478,20088,1000,5,2377,2367.231506849315,,,,,
sample,1779009410.4800692,9,2,45,1478,20088,1000,6,2377,2367.231506849315,,,,,
sample,1779009410.5050685,9,2,45,1478,20088,1000,7,2377,2367.231506849315,,,,,
sample,1779009410.5290768,9,2,45,1478,20088,1000,8,2464,2453.8739726027397,,,,,
sample,1779009410.5539763,9,2,45,1478,20088,1000,9,2464,2453.8739726027397,,,,,
summary,1779009410.5539763,9,2,45,1478,20088,1000,,,,10,2351.397,2295.527,2453.874,58.821
sample,1779009411.3367114,10,2,50,1520,21094,1000,0,2833,2821.357534246575,,,,,
sample,1779009411.3617046,10,2,50,1520,21094,1000,1,2834,2822.353424657534,,,,,
sample,1779009411.3869734,10,2,50,1520,21094,1000,2,2834,2822.353424657534,,,,,
sample,1779009411.4113247,10,2,50,1520,21094,1000,3,2834,2822.353424657534,,,,,
sample,1779009411.4363282,10,2,50,1520,21094,1000,4,2858,2846.254794520548,,,,,
sample,1779009411.4623287,10,2,50,1520,21094,1000,5,2858,2846.254794520548,,,,,
sample,1779009411.4873207,10,2,50,1520,21094,1000,6,2858,2846.254794520548,,,,,
