kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error
sample,1779012330.8268223,0,0,0,1100,102156,1000,0,34,33.86027397260274,,,,,,
sample,1779012330.8611593,0,0,0,1100,102156,1000,1,34,33.86027397260274,,,,,,
sample,1779012330.899103,0,0,0,1100,102156,1000,2,35,34.85616438356164,,,,,,
sample,1779012330.92497,0,0,0,1100,102156,1000,3,35,34.85616438356164,,,,,,
sample,1779012330.9514785,0,0,0,1100,102156,1000,4,35,34.85616438356164,,,,,,
sample,1779012330.9874778,0,0,0,1100,102156,1000,5,35,34.85616438356164,,,,,,
sample,1779012331.0134845,0,0,0,1100,102156,1000,6,35,34.85616438356164,,,,,,
sample,1779012331.0393722,0,0,0,1100,102156,1000,7,34,33.86027397260274,,,,,,
sample,1779012331.0646825,0,0,0,1100,102156,1000,8,34,33.86027397260274,,,,,,
sample,1779012331.0903914,0,0,0,1100,102156,1000,9,34,33.86027397260274,,,,,,
sample,1779012331.1162827,0,0,0,1100,102156,1000,10,33,32.864383561643834,,,,,,
sample,1779012331.1437645,0,0,0,1100,102156,1000,11,33,32.864383561643834,,,,,,
sample,1779012331.1688845,0,0,0,1100,102156,1000,12,33,32.864383561643834,,,,,,
sample,1779012331.1954281,0,0,0,1100,102156,1000,13,34,33.86027397260274,,,,,,
sample,1779012331.2227376,0,0,0,1100,102156,1000,14,34,33.86027397260274,,,,,,
sample,1779012331.2487583,0,0,0,1100,102156,1000,15,34,33.86027397260274,,,,,,
sample,1779012331.2749166,0,0,0,1100,102156,1000,16,33,32.864383561643834,,,,,,
sample,1779012331.3052175,0,0,0,1100,102156,1000,17,33,32.864383561643834,,,,,,
sample,1779012331.330809,0,0,0,1100,102156,1000,18,30,29.876712328767123,,,,,,
sample,1779012331.3557677,0,0,0,1100,102156,1000,19,30,29.876712328767123,,,,,,
summary,1779012331.356768,0,0,0,1100,102156,1000,,,,20,33.462,29.877,34.856,1.387,
sample,1779012331.8301299,1,0,5,1142,103161,1000,0,34,33.86027397260274,,,,,,
sample,1779012331.8556526,1,0,5,1142,103161,1000,1,37,36.84794520547945,,,,,,
sample,1779012331.8808873,1,0,5,1142,103161,1000,2,37,36.84794520547945,,,,,,
sample,1779012331.9080288,1,0,5,1142,103161,1000,3,37,36.84794520547945,,,,,,
sample,1779012331.9340928,1,0,5,1142,103161,1000,4,35,34.85616438356164,,,,,,
sample,1779012331.96024,1,0,5,1142,103161,1000,5,35,34.85616438356164,,,,,,
sample,1779012331.9857535,1,0,5,1142,103161,1000,6,35,34.85616438356164,,,,,,
sample,1779012332.0117428,1,0,5,1142,103161,1000,7,21,20.913698630136984,,,,,,
sample,1779012332.037332,1,0,5,1142,103161,1000,8,21,20.913698630136984,,,,,,
sample,1779012332.0638354,1,0,5,1142,103161,1000,9,21,20.913698630136984,,,,,,
sample,1779012332.0890505,1,0,5,1142,103161,1000,10,10,9.95890410958904,,,,,,
sample,1779012332.1142573,1,0,5,1142,103161,1000,11,10,9.95890410958904,,,,,,
sample,1779012332.1410282,1,0,5,1142,103161,1000,12,10,9.95890410958904,,,,,,
sample,1779012332.166693,1,0,5,1142,103161,1000,13,0,0.0,,,,,,
sample,1779012332.1920586,1,0,5,1142,103161,1000,14,0,0.0,,,,,,
sample,1779012332.2202933,1,0,5,1142,103161,1000,15,0,0.0,,,,,,
sample,1779012332.2459676,1,0,5,1142,103161,1000,16,-19,-18.921917808219177,,,,,,
sample,1779012332.2716796,1,0,5,1142,103161,1000,17,-19,-18.921917808219177,,,,,,
sample,1779012332.3029053,1,0,5,1142,103161,1000,18,-19,-18.921917808219177,,,,,,
sample,1779012332.327996,1,0,5,1142,103161,1000,19,-38,-37.843835616438355,,,,,,
summary,1779012332.327996,1,0,5,1142,103161,1000,,,,20,12.349,-37.844,36.848,22.283,
