kind,host_time,seq,motor,pct,pulse_us,fc_ms,dwell_ms,sample_index,raw,grams,count,mean_g,min_g,max_g,std_g,error
sample,1784797202.9610877,0,1,0,1100,17715,2000,0,56,55.769863013698625,,,,,,
sample,1784797202.9930875,0,1,0,1100,17715,2000,1,56,55.769863013698625,,,,,,
sample,1784797203.0250893,0,1,0,1100,17715,2000,2,57,56.76575342465753,,,,,,
sample,1784797203.056974,0,1,0,1100,17715,2000,3,57,56.76575342465753,,,,,,
sample,1784797203.088969,0,1,0,1100,17715,2000,4,55,54.773972602739725,,,,,,
sample,1784797203.1209695,0,1,0,1100,17715,2000,5,55,54.773972602739725,,,,,,
sample,1784797203.152968,0,1,0,1100,17715,2000,6,55,54.773972602739725,,,,,,
sample,1784797203.1849709,0,1,0,1100,17715,2000,7,53,52.78219178082192,,,,,,
sample,1784797203.2178383,0,1,0,1100,17715,2000,8,53,52.78219178082192,,,,,,
sample,1784797203.2492063,0,1,0,1100,17715,2000,9,54,53.77808219178082,,,,,,
sample,1784797203.280737,0,1,0,1100,17715,2000,10,54,53.77808219178082,,,,,,
sample,1784797203.3131926,0,1,0,1100,17715,2000,11,54,53.77808219178082,,,,,,
sample,1784797203.3454762,0,1,0,1100,17715,2000,12,54,53.77808219178082,,,,,,
sample,1784797203.3772113,0,1,0,1100,17715,2000,13,54,53.77808219178082,,,,,,
sample,1784797203.409218,0,1,0,1100,17715,2000,14,57,56.76575342465753,,,,,,
sample,1784797203.4412172,0,1,0,1100,17715,2000,15,57,56.76575342465753,,,,,,
sample,1784797203.4734185,0,1,0,1100,17715,2000,16,54,53.77808219178082,,,,,,
sample,1784797203.5054193,0,1,0,1100,17715,2000,17,54,53.77808219178082,,,,,,
sample,1784797203.5376863,0,1,0,1100,17715,2000,18,54,53.77808219178082,,,,,,
sample,1784797203.5686915,0,1,0,1100,17715,2000,19,57,56.76575342465753,,,,,,
summary,1784797203.5696862,0,1,0,1100,17715,2000,,,,20,54.774,52.782,56.766,1.373,
sample,1784797204.9771476,1,1,5,1142,19715,2000,0,53,52.78219178082192,,,,,,
sample,1784797205.0091505,1,1,5,1142,19715,2000,1,55,54.773972602739725,,,,,,
sample,1784797205.041149,1,1,5,1142,19715,2000,2,55,54.773972602739725,,,,,,
sample,1784797205.0730247,1,1,5,1142,19715,2000,3,51,50.790410958904104,,,,,,
sample,1784797205.105026,1,1,5,1142,19715,2000,4,51,50.790410958904104,,,,,,
sample,1784797205.137055,1,1,5,1142,19715,2000,5,61,60.749315068493146,,,,,,
sample,1784797205.169026,1,1,5,1142,19715,2000,6,61,60.749315068493146,,,,,,
sample,1784797205.2010608,1,1,5,1142,19715,2000,7,79,78.67534246575342,,,,,,
sample,1784797205.2333024,1,1,5,1142,19715,2000,8,79,78.67534246575342,,,,,,
sample,1784797205.2652996,1,1,5,1142,19715,2000,9,79,78.67534246575342,,,,,,
sample,1784797205.2972984,1,1,5,1142,19715,2000,10,100,99.58904109589041,,,,,,
sample,1784797205.3292992,1,1,5,1142,19715,2000,11,100,99.58904109589041,,,,,,
sample,1784797205.3612983,1,1,5,1142,19715,2000,12,120,119.5068493150685,,,,,,
sample,1784797205.3932998,1,1,5,1142,19715,2000,13,120,119.5068493150685,,,,,,
sample,1784797205.425299,1,1,5,1142,19715,2000,14,120,119.5068493150685,,,,,,
sample,1784797205.4572988,1,1,5,1142,19715,2000,15,145,144.4041095890411,,,,,,
sample,1784797205.489299,1,1,5,1142,19715,2000,16,145,144.4041095890411,,,,,,
sample,1784797205.5212994,1,1,5,1142,19715,2000,17,153,152.37123287671233,,,,,,
sample,1784797205.5532994,1,1,5,1142,19715,2000,18,153,152.37123287671233,,,,,,
sample,1784797205.5847988,1,1,5,1142,19715,2000,19,159,158.34657534246574,,,,,,
summary,1784797205.5847988,1,1,5,1142,19715,2000,,,,20,96.552,50.790,158.347,38.306,
sample,1784797206.9606805,2,1,10,1184,21715,2000,0,157,156.35479452054793,,,,,,
sample,1784797206.9926815,2,1,10,1184,21715,2000,1,157,156.35479452054793,,,,,,
sample,1784797207.024686,2,1,10,1184,21715,2000,2,161,160.33835616438355,,,,,,
sample,1784797207.0567725,2,1,10,1184,21715,2000,3,161,160.33835616438355,,,,,,
sample,1784797207.089275,2,1,10,1184,21715,2000,4,189,188.22328767123287,,,,,,
sample,1784797207.1210465,2,1,10,1184,21715,2000,5,189,188.22328767123287,,,,,,
sample,1784797207.15304,2,1,10,1184,21715,2000,6,189,188.22328767123287,,,,,,
sample,1784797207.185234,2,1,10,1184,21715,2000,7,225,224.0753424657534,,,,,,
sample,1784797207.2163298,2,1,10,1184,21715,2000,8,225,224.0753424657534,,,,,,
sample,1784797207.248331,2,1,10,1184,21715,2000,9,257,255.94383561643835,,,,,,
sample,1784797207.2803319,2,1,10,1184,21715,2000,10,257,255.94383561643835,,,,,,
sample,1784797207.3123596,2,1,10,1184,21715,2000,11,257,255.94383561643835,,,,,,
sample,1784797207.3443587,2,1,10,1184,21715,2000,12,292,290.8,,,,,,
sample,1784797207.3763614,2,1,10,1184,21715,2000,13,292,290.8,,,,,,
sample,1784797207.4083607,2,1,10,1184,21715,2000,14,321,319.6808219178082,,,,,,
sample,1784797207.4413614,2,1,10,1184,21715,2000,15,321,319.6808219178082,,,,,,
sample,1784797207.47236,2,1,10,1184,21715,2000,16,328,326.65205479452055,,,,,,
